Generation,Cut rates=0.0,Cut rates=0.02,Cut rates=0.04,Cut rates=0.06,Cut rates=0.08,Cut rates=0.1,Cut rates=0.12,Cut rates=0.14,Cut rates=0.16,Cut rates=0.18,Cut rates=0.2,Cut rates=0.22,Cut rates=0.24,Cut rates=0.26,Cut rates=0.28,Cut rates=0.3,Cut rates=0.32,Cut rates=0.34,Cut rates=0.36,Cut rates=0.38,Cut rates=0.4,Cut rates=0.42,Cut rates=0.44,Cut rates=0.46,Cut rates=0.48,Cut rates=0.5,Cut rates=0.52,Cut rates=0.54,Cut rates=0.56,Cut rates=0.58,Cut rates=0.6,Cut rates=0.62,Cut rates=0.64,Cut rates=0.66,Cut rates=0.68,Cut rates=0.7,Cut rates=0.72,Cut rates=0.74,Cut rates=0.76,Cut rates=0.78,Cut rates=0.8,Cut rates=0.82,Cut rates=0.84,Cut rates=0.86,Cut rates=0.88,Cut rates=0.9,Cut rates=0.92,Cut rates=0.94,Cut rates=0.96,Cut rates=0.98,Cut rates=1.0
1,0.001935194,0.023734042,0.040147868,0.065143068,0.08237384,0.093487232,0.124924484,0.143966724,0.168195398,0.190396251,0.21209922,0.234026531,0.253529742,0.278254728,0.29631856,0.321275533,0.340082265,0.359946657,0.381395977,0.401688449,0.424185172,0.44049081,0.462795905,0.478220412,0.495855906,0.518340535,0.532824062,0.54981279,0.566260226,0.581825799,0.600456828,0.611189509,0.627646027,0.638574768,0.649587362,0.663684155,0.674346752,0.683625781,0.693824717,0.702939969,0.710771925,0.719510976,0.724858245,0.7293191,0.735562446,0.742197632,0.741115889,0.746157469,0.749570653,0.749481284,0.749456285
2,0.252041205,0.270964634,0.301481084,0.327216713,0.353541911,0.372201213,0.399707057,0.427039988,0.44968555,0.467265329,0.493693514,0.514806854,0.534861891,0.553515578,0.576573169,0.593614208,0.612187012,0.632475934,0.648633755,0.663089369,0.680213084,0.694496269,0.712264411,0.723161361,0.73972466,0.749512033,0.767605386,0.779562235,0.793121532,0.802362773,0.814716636,0.829598387,0.841399683,0.853527151,0.864368621,0.88033537,0.889176775,0.899436202,0.912427052,0.925292767,0.934574706,0.945287663,0.956202448,0.962991148,0.973223735,0.981802051,0.987907668,0.993526727,0.99668141,0.999108993,1
3,0.1723787,0.208471935,0.24993611,0.284735059,0.319097141,0.354483104,0.391608601,0.419995295,0.456280779,0.485878224,0.511653068,0.5419091,0.562259076,0.592727802,0.61963575,0.641236108,0.661275367,0.686658439,0.705551171,0.728163,0.745079747,0.761204524,0.779521978,0.797788634,0.812807562,0.830708046,0.848421105,0.853881598,0.870213257,0.885130345,0.897307163,0.905888244,0.918186794,0.929051587,0.935425108,0.94732342,0.956893761,0.960808677,0.966037085,0.972724363,0.980302932,0.980166575,0.983035723,0.990162334,0.992293713,0.994660754,0.995198121,0.999299133,0.991033838,1,1
4,0.125652276,0.180240214,0.221587533,0.266699988,0.312636389,0.350819524,0.387923033,0.426218037,0.458225723,0.492079762,0.522408949,0.556627342,0.585337308,0.613111501,0.642223527,0.661676406,0.690207321,0.7095624,0.731777599,0.758297783,0.777851854,0.796252389,0.805138112,0.828457724,0.843103036,0.856138902,0.878905199,0.88358422,0.893454871,0.909981416,0.915035156,0.927556044,0.942728275,0.946854306,0.94834509,0.961005649,0.971648218,0.969932705,0.980184869,0.986422173,0.984231586,0.991880525,0.990848897,0.994325874,0.996104969,0.996408355,1,0.993698153,0.999546743,1,1
5,0.096862784,0.152713395,0.195580343,0.252736778,0.299525175,0.343117439,0.380842302,0.426016575,0.459571458,0.501588911,0.534624618,0.568589686,0.598357302,0.625744352,0.656441534,0.685420427,0.712435671,0.731620575,0.757537274,0.782583645,0.798471466,0.823887297,0.829947032,0.85080777,0.859017471,0.88355616,0.89717049,0.902587311,0.914511146,0.930883949,0.932882916,0.94116147,0.956294889,0.957733412,0.970314583,0.968962626,0.974621498,0.982015285,0.982040459,0.987108194,0.990981813,0.994817238,0.996714317,0.99128643,0.995905706,1,1,0.999217287,1,1,1
6,0.07575045,0.139280094,0.183561685,0.237986933,0.286160286,0.33292055,0.381975986,0.418337478,0.460888458,0.502078457,0.54104515,0.576518741,0.610424584,0.644638542,0.673933307,0.699225168,0.719653629,0.747800382,0.768796738,0.797648236,0.816269292,0.840450614,0.849054341,0.863510785,0.880556591,0.889532655,0.907053619,0.915951734,0.935730654,0.942707226,0.953772258,0.947440631,0.959842697,0.959351098,0.969705158,0.965066946,0.978167971,0.971414324,0.985590217,0.987660313,0.991800371,0.991782155,0.990908042,0.996914153,0.994631115,1,1,1,1,1,1
7,0.061053782,0.112911294,0.169101474,0.230412615,0.276238581,0.324954505,0.377848114,0.418636601,0.45973198,0.501782625,0.543797051,0.595048932,0.618659152,0.654503244,0.677571422,0.715551833,0.734462966,0.757217973,0.782579403,0.807202213,0.830268186,0.850895269,0.860262896,0.878570267,0.891663072,0.90881027,0.918926226,0.928421807,0.9310596,0.939974665,0.95131855,0.946087319,0.961955553,0.967875936,0.975781266,0.978842152,0.976986511,0.973894039,0.985070382,0.988279105,0.990439913,0.996377149,0.995606979,0.994903746,0.997392531,1,1,1,1,1,1
8,0.048421505,0.103383853,0.158727847,0.215266547,0.26279415,0.320530838,0.370420163,0.420422054,0.463767533,0.511208242,0.546450751,0.59753812,0.624134198,0.659753581,0.685395505,0.719066587,0.741924843,0.767433512,0.790857451,0.819947883,0.834150976,0.84893469,0.869447946,0.880880891,0.893720453,0.911301781,0.912671078,0.927666681,0.937108552,0.943228558,0.950643157,0.95820105,0.96285315,0.959043939,0.973380754,0.977796532,0.980509707,0.979430099,0.984369152,0.986191195,0.991363156,0.99586829,0.996526473,0.99800227,0.994490083,1,1,1,1,1,1
9,0.04505862,0.092619709,0.147316971,0.204118913,0.254570041,0.317811083,0.364422591,0.413510281,0.463058514,0.508856184,0.554916941,0.601074018,0.629087216,0.668767219,0.699840828,0.726295543,0.749197314,0.774792997,0.796667851,0.824507542,0.844105388,0.864862715,0.872124916,0.883754084,0.899392629,0.914683895,0.924903106,0.930092368,0.938100852,0.943690501,0.958758272,0.957739988,0.965139272,0.97190676,0.975513471,0.972934416,0.976610234,0.983682495,0.984648784,0.987068326,0.991753158,0.994990824,0.993979749,0.985380912,0.99260636,1,1,1,1,1,1
10,0.034884419,0.082692067,0.134523017,0.192473118,0.249468808,0.309711365,0.361673253,0.409854591,0.466088328,0.506002768,0.563099002,0.604418447,0.629882739,0.668605202,0.70392465,0.733354323,0.75638768,0.785182287,0.801680866,0.822066038,0.843160794,0.858634711,0.877141321,0.891237537,0.900044886,0.913264206,0.926432818,0.93623253,0.935628652,0.946741567,0.948845596,0.950957028,0.96832748,0.958010725,0.979336607,0.979254438,0.984348245,0.98574678,0.986295232,0.988726244,0.992275416,0.990169504,0.987107948,0.994929575,0.998184942,1,1,1,1,1,1
