Generation,Resistance Fitness=0.0,Resistance Fitness=0.01,Resistance Fitness=0.02,Resistance Fitness=0.03,Resistance Fitness=0.04,Resistance Fitness=0.05,Resistance Fitness=0.06,Resistance Fitness=0.07,Resistance Fitness=0.08,Resistance Fitness=0.09,Resistance Fitness=0.1,Resistance Fitness=0.11,Resistance Fitness=0.12,Resistance Fitness=0.13,Resistance Fitness=0.14,Resistance Fitness=0.15,Resistance Fitness=0.16,Resistance Fitness=0.17,Resistance Fitness=0.18,Resistance Fitness=0.19,Resistance Fitness=0.2,Resistance Fitness=0.21,Resistance Fitness=0.22,Resistance Fitness=0.23,Resistance Fitness=0.24,Resistance Fitness=0.25,Resistance Fitness=0.26,Resistance Fitness=0.27,Resistance Fitness=0.28,Resistance Fitness=0.29,Resistance Fitness=0.3,Resistance Fitness=0.31,Resistance Fitness=0.32,Resistance Fitness=0.33,Resistance Fitness=0.34,Resistance Fitness=0.35,Resistance Fitness=0.36,Resistance Fitness=0.37,Resistance Fitness=0.38,Resistance Fitness=0.39,Resistance Fitness=0.4,Resistance Fitness=0.41,Resistance Fitness=0.42,Resistance Fitness=0.43,Resistance Fitness=0.44,Resistance Fitness=0.45,Resistance Fitness=0.46,Resistance Fitness=0.47,Resistance Fitness=0.48,Resistance Fitness=0.49,Resistance Fitness=0.5
1,0.001502603,0.001481087,0.000880313,-0.000481635,-0.002019376,-0.000319671,-0.000958248,0.001407216,0.000914707,-0.001476221,-0.000928301,0.002386814,-0.000825689,-8.49E-05,-0.001194737,-0.000561015,-0.003499184,-0.000811379,0.000988271,-0.000986257,0.00205268,-0.001236001,-0.000669471,0.000219793,0.001473666,-0.002287127,0.002415242,0.002161272,-0.002958772,-0.000508196,7.50E-05,-0.000384117,0.001766247,-0.000904733,-0.001338574,0.000936544,0.003107778,0.00350006,0.003465003,0.002652044,0.001610904,0.001816399,-0.001414399,0.001573898,0.002838013,0.002856971,0.000836062,-0.000558238,0.000883961,0.000109692,-0.00126121
2,1,0.950873319,0.926151347,0.907965511,0.892434179,0.87745882,0.864144979,0.85027613,0.837668538,0.829075523,0.819832493,0.806257473,0.797828237,0.788004519,0.779894153,0.768516995,0.759305447,0.754051188,0.742887592,0.737867963,0.726917359,0.719626726,0.711774824,0.70110153,0.696415497,0.686630411,0.680404238,0.671765411,0.666043265,0.657692539,0.649636964,0.643255173,0.636482985,0.632072399,0.624398378,0.613837812,0.611340665,0.602146447,0.596894051,0.592590178,0.583095974,0.578131784,0.572371844,0.566033874,0.557876184,0.549198101,0.54728036,0.539665029,0.534162729,0.527394076,0.518526645
3,1,0.947472731,0.926767664,0.907452833,0.892370954,0.876931076,0.864065529,0.850743575,0.841187354,0.827094714,0.814330651,0.80428725,0.798275966,0.787107443,0.777506162,0.766242984,0.760095166,0.753173739,0.746028411,0.732426912,0.725153557,0.713760611,0.706085948,0.702891261,0.691926564,0.684264025,0.674512515,0.665855231,0.658226142,0.651704019,0.644523859,0.638714102,0.630371028,0.62002429,0.614210429,0.606946064,0.601833278,0.588945953,0.585128558,0.574945077,0.570854206,0.563863649,0.556832207,0.548761765,0.542856858,0.536862673,0.530649349,0.520084482,0.514647609,0.505745515,0.498840707
4,1,0.948993942,0.92943806,0.911125921,0.894544265,0.880433206,0.868094526,0.85598876,0.845672334,0.834464098,0.824075097,0.812779741,0.805326799,0.793707619,0.785391368,0.776369523,0.770743372,0.756333976,0.747406753,0.740193129,0.731498881,0.724644166,0.714546634,0.708281113,0.700320545,0.691008041,0.682463768,0.674705072,0.664315966,0.657323212,0.650130626,0.643965819,0.634876582,0.625588199,0.614025009,0.607365783,0.601244287,0.59621197,0.585186706,0.581550642,0.572753696,0.566290274,0.555392579,0.54690062,0.542048089,0.535169614,0.526568212,0.51999101,0.508060131,0.505336531,0.495154419
5,1,0.948988713,0.9275973,0.909948516,0.895220949,0.882341559,0.870040958,0.856187024,0.849502655,0.835247432,0.827172264,0.816376574,0.806097433,0.797750854,0.788311118,0.776975644,0.768914048,0.761199704,0.753441647,0.744528355,0.734470091,0.723437992,0.715014563,0.711464583,0.696284768,0.694182524,0.68761899,0.675962119,0.671059573,0.659638011,0.652078873,0.644544347,0.63658814,0.628051369,0.620427102,0.609971969,0.600958347,0.596690734,0.588679737,0.577584006,0.572830852,0.560948329,0.55410987,0.546944993,0.536444167,0.532953926,0.522787439,0.517432352,0.511710263,0.50093537,0.49030094
6,1,0.949379655,0.927877141,0.909390281,0.896341796,0.882225551,0.874879821,0.860275881,0.851026831,0.839627437,0.829109691,0.817223322,0.809092036,0.801011965,0.790492667,0.779189435,0.769350328,0.762687036,0.75583396,0.747045023,0.734496687,0.728709544,0.716279397,0.709072767,0.704630325,0.696285492,0.684549956,0.677264693,0.668454749,0.663585544,0.651322791,0.646764563,0.633923515,0.629369125,0.621623912,0.61125774,0.604797797,0.600898994,0.58958927,0.578374786,0.571811736,0.563411097,0.555385523,0.547305569,0.53712854,0.531554439,0.521781715,0.512681863,0.506341137,0.501830804,0.489916732
7,1,0.949800829,0.926759555,0.91128456,0.894221614,0.884627648,0.871157421,0.86143384,0.848174283,0.836085352,0.827949745,0.816193907,0.807661513,0.800280695,0.789513606,0.778662652,0.772682601,0.763345536,0.754553904,0.747659398,0.737988056,0.72810238,0.723189766,0.713684399,0.701203885,0.695744468,0.686422323,0.678794464,0.675274123,0.664284323,0.653194342,0.647380273,0.637638133,0.629041235,0.623281458,0.612347537,0.601981004,0.59727339,0.589596015,0.580685408,0.569899976,0.562856685,0.55507164,0.546484875,0.537579076,0.527589196,0.527327135,0.514762324,0.505845391,0.497683475,0.488377525
8,1,0.948215321,0.92843483,0.910571705,0.894031935,0.883236884,0.869452551,0.859036894,0.848299062,0.837898016,0.829981947,0.81851652,0.808090717,0.800289407,0.790853488,0.782471196,0.772570881,0.762123986,0.757370198,0.744977626,0.739595452,0.725282707,0.721976687,0.713314275,0.70206038,0.694930567,0.685619248,0.682982237,0.670186472,0.663119294,0.65327378,0.647418832,0.635989846,0.628463969,0.620989984,0.610183819,0.604631911,0.5932254,0.587460975,0.580211586,0.56645003,0.563450377,0.553967166,0.544472376,0.538450371,0.523944324,0.52279421,0.515602554,0.503724289,0.494203231,0.490518698
9,1,0.948547872,0.928155573,0.909150757,0.895563445,0.88219724,0.872556744,0.858783271,0.84765801,0.839531611,0.827860855,0.817319999,0.806589239,0.80053007,0.790116897,0.780803728,0.773417431,0.76295008,0.755201653,0.748405797,0.738088695,0.727327336,0.72049349,0.710539367,0.70449959,0.696984399,0.688745095,0.679783485,0.673116375,0.663399333,0.655976793,0.647468672,0.636614425,0.628429616,0.620442959,0.617724393,0.607117924,0.594745662,0.588852315,0.575120978,0.567776346,0.56675523,0.553136327,0.548301425,0.538295238,0.529079233,0.515894505,0.509512852,0.503884279,0.492393275,0.486135217
10,1,0.949226574,0.929550927,0.912549733,0.895275492,0.881446957,0.871322417,0.859088978,0.849330963,0.840673582,0.831461065,0.818006221,0.810810272,0.801824308,0.793140821,0.781494752,0.775898383,0.766302233,0.756904861,0.747222821,0.739835648,0.730650823,0.722805119,0.71135323,0.705495954,0.696773549,0.687624691,0.678403299,0.673144003,0.662326875,0.656940658,0.642921336,0.638398316,0.627872265,0.618897356,0.614188814,0.604536553,0.599162179,0.588999255,0.578941858,0.570107166,0.561897795,0.556749073,0.544841182,0.53766016,0.526480125,0.524880777,0.50783876,0.503866844,0.494371402,0.48263136
