Generation,Cut rates=0.0,Cut rates=0.02,Cut rates=0.04,Cut rates=0.06,Cut rates=0.08,Cut rates=0.1,Cut rates=0.12,Cut rates=0.14,Cut rates=0.16,Cut rates=0.18,Cut rates=0.2,Cut rates=0.22,Cut rates=0.24,Cut rates=0.26,Cut rates=0.28,Cut rates=0.3,Cut rates=0.32,Cut rates=0.34,Cut rates=0.36,Cut rates=0.38,Cut rates=0.4,Cut rates=0.42,Cut rates=0.44,Cut rates=0.46,Cut rates=0.48,Cut rates=0.5,Cut rates=0.52,Cut rates=0.54,Cut rates=0.56,Cut rates=0.58,Cut rates=0.6,Cut rates=0.62,Cut rates=0.64,Cut rates=0.66,Cut rates=0.68,Cut rates=0.7,Cut rates=0.72,Cut rates=0.74,Cut rates=0.76,Cut rates=0.78,Cut rates=0.8,Cut rates=0.82,Cut rates=0.84,Cut rates=0.86,Cut rates=0.88,Cut rates=0.9,Cut rates=0.92,Cut rates=0.94,Cut rates=0.96,Cut rates=0.98,Cut rates=1.0
1,-0.0004243,0.002285428,0.003306719,0.011476431,0.018334465,0.03060136,0.037305519,0.047115365,0.065706853,0.081603175,0.100865028,0.119135364,0.133750307,0.154758057,0.175233189,0.194307512,0.21310095,0.236730711,0.262386451,0.286140678,0.309097455,0.331154336,0.352275387,0.378505187,0.399481129,0.421491899,0.442631949,0.463721844,0.487003475,0.508557555,0.526557976,0.54942884,0.568677189,0.590689603,0.608121832,0.618353118,0.636079656,0.653475797,0.665897743,0.678843816,0.691231207,0.701064549,0.713293745,0.718626413,0.728302226,0.734878669,0.739054623,0.744192443,0.74762208,0.748843109,0.748274126
2,0.245154701,0.253028271,0.264541116,0.27332567,0.282913333,0.303574558,0.318311731,0.338442434,0.360556103,0.384238791,0.403244502,0.427650197,0.448853518,0.464487678,0.483185228,0.506374442,0.527786623,0.544623224,0.56010929,0.583089565,0.598813854,0.61627289,0.63726131,0.648142381,0.666207537,0.683912243,0.698537181,0.716917656,0.72872423,0.745797679,0.760627291,0.776881303,0.793237145,0.802945558,0.821840002,0.831144652,0.850539965,0.865143762,0.88002147,0.894388747,0.909835779,0.920739696,0.93686261,0.946977933,0.961308,0.973312355,0.981692447,0.989120125,0.995348181,0.998830877,1
3,0.165616201,0.173593235,0.184894752,0.205584162,0.223218937,0.247257893,0.27601855,0.294090284,0.318173403,0.344140913,0.359883307,0.387017692,0.404193018,0.425837033,0.44242971,0.465902239,0.483689849,0.499825466,0.519305855,0.539042367,0.559609407,0.569409215,0.585653899,0.603442892,0.618003181,0.637593759,0.648798632,0.665103858,0.679551631,0.692782966,0.711681615,0.726953713,0.734960737,0.749648866,0.76030101,0.773896031,0.783616925,0.798112092,0.801482487,0.806089744,0.825245898,0.833937379,0.833240799,0.846088013,0.841039005,0.857753108,0.84872853,0.862175532,0.8445369,0.827121729,1
4,0.125639758,0.131768251,0.151387081,0.170319173,0.19249044,0.21883068,0.238956035,0.261366808,0.283598053,0.305018456,0.322880737,0.337472166,0.35739882,0.377003715,0.390943842,0.410622493,0.429628297,0.447819334,0.455646612,0.477822359,0.497551651,0.507596689,0.527893534,0.540092939,0.55731546,0.579891698,0.588422456,0.61208187,0.624410085,0.640376491,0.661847493,0.684843593,0.702014995,0.724992822,0.742303898,0.762398424,0.783178432,0.801892896,0.820694832,0.855170492,0.858148225,0.891707215,0.908127155,0.939006357,0.948346279,0.957007935,0.960085053,0.993141591,0.99941116,0.989026928,1
5,0.094387283,0.10791818,0.127081577,0.152162381,0.165397367,0.189135209,0.210594631,0.221786983,0.241308783,0.261700497,0.275330683,0.293653489,0.307903608,0.320980636,0.336580383,0.351204207,0.368480351,0.380877969,0.386666132,0.405371471,0.42843563,0.440483206,0.457880346,0.470780403,0.493969307,0.519474061,0.522414827,0.548200317,0.562407644,0.581126582,0.61106073,0.639225194,0.652655887,0.679650878,0.698538777,0.726604576,0.748420148,0.780609369,0.784681477,0.813771999,0.83030781,0.856448553,0.850888532,0.889054004,0.89322321,0.909381249,0.916358614,0.848505602,0.936193307,0.996470402,1
6,0.077034891,0.091465819,0.10516829,0.125052063,0.142227508,0.163389983,0.180155691,0.192692917,0.20549961,0.22248372,0.240222963,0.250970181,0.262222178,0.271189567,0.288978474,0.297987844,0.307498595,0.321655495,0.324794853,0.347425624,0.364785846,0.369904203,0.387382335,0.399200133,0.421188177,0.444323778,0.444764861,0.488049071,0.496009767,0.51118366,0.544620285,0.573230484,0.592481995,0.630195213,0.657848536,0.698172628,0.72880854,0.765229936,0.779944905,0.828620623,0.836744997,0.874402381,0.885334937,0.924658114,0.947754876,0.960392435,0.964432202,0.98828164,0.999532959,1,1
7,0.057713401,0.072199811,0.087442753,0.106454095,0.123623298,0.142138,0.155964222,0.162641111,0.174565541,0.187888245,0.205219757,0.206302307,0.219569571,0.229837925,0.238853949,0.247756483,0.254641091,0.274089476,0.270815786,0.287442093,0.303745145,0.308094295,0.315150698,0.330552601,0.351539369,0.374130438,0.367786845,0.404950175,0.421982853,0.432290909,0.470849291,0.507529414,0.525092082,0.559474512,0.600444398,0.655945897,0.68924416,0.733807772,0.75854882,0.793586097,0.821674729,0.856244896,0.866803299,0.895907001,0.892187758,0.922808243,0.923414994,0.981597477,1,1,1
8,0.053467493,0.064552256,0.081031188,0.094897821,0.102650911,0.115440506,0.13325282,0.138391363,0.149652099,0.159942378,0.172587278,0.17772788,0.185337446,0.195816302,0.201259967,0.208475305,0.210847983,0.220863758,0.220544667,0.237595634,0.246687284,0.247833985,0.257272531,0.267729618,0.282563429,0.305982607,0.294799329,0.329899946,0.342892793,0.350556486,0.39322188,0.430268603,0.444096165,0.482190295,0.527598108,0.600569089,0.652787636,0.7097981,0.731875523,0.782920453,0.812504381,0.872472497,0.869056072,0.903975639,0.955655473,0.991386081,0.970170314,0.998605413,1,1,1
9,0.040297338,0.054524089,0.071551858,0.080342777,0.093044648,0.105284685,0.120750789,0.125962809,0.130275661,0.141479871,0.146292836,0.152515042,0.157145782,0.16478597,0.171272735,0.170642257,0.173686852,0.184040574,0.181616849,0.190345281,0.202381427,0.200714325,0.206748209,0.211160393,0.218730552,0.242295691,0.231345557,0.260115957,0.263543382,0.265928308,0.309944147,0.344147764,0.359337306,0.395966387,0.451903311,0.524853164,0.59327323,0.662137032,0.692715457,0.768624161,0.803208993,0.864397757,0.862513421,0.906289665,0.94803133,0.896030246,0.938342,0.996111426,1,1,1
10,0.033535011,0.049963317,0.060712861,0.067932904,0.081721054,0.090476618,0.099628784,0.106710041,0.116401932,0.113130155,0.124874325,0.132080667,0.134469431,0.13579147,0.139188878,0.13522771,0.146415,0.147125203,0.147279014,0.156965265,0.1611395,0.160412998,0.164028157,0.164956253,0.170018482,0.182243646,0.178827425,0.199091145,0.202111726,0.203453296,0.237937621,0.264800044,0.278191473,0.304804963,0.365304366,0.431861785,0.524066038,0.602847998,0.641981548,0.740800964,0.784941447,0.86511504,0.867302119,0.895355897,0.944809089,0.992857072,0.975884729,0.998753862,1,1,1
11,0.027641723,0.044233026,0.050962395,0.064985058,0.077148594,0.081785648,0.089778062,0.094743105,0.101715534,0.108547397,0.112726435,0.11203483,0.115753727,0.116926154,0.120425177,0.115722886,0.116813443,0.122163054,0.120518341,0.124319954,0.133832223,0.129626192,0.127868836,0.125876081,0.128318096,0.144412716,0.130922931,0.149132129,0.145786367,0.148568628,0.174310323,0.196477033,0.204086625,0.224544451,0.277429279,0.343013069,0.432054266,0.542822436,0.585807372,0.710154007,0.763035979,0.864744967,0.849372953,0.919055785,0.955692976,0.881363382,0.938770592,0.995671154,1,1,1
12,0.025538939,0.03864401,0.047591602,0.05658394,0.064885973,0.069061493,0.078922122,0.084826613,0.088418943,0.091423322,0.096059015,0.095254474,0.096062032,0.100162131,0.093222582,0.096609983,0.10001497,0.101884883,0.096629428,0.100462574,0.104220345,0.097611915,0.097584565,0.09624819,0.102254175,0.108849934,0.097924036,0.109664655,0.115108166,0.108789078,0.125497908,0.143113468,0.140869643,0.163667803,0.200645264,0.256467391,0.345351281,0.458822764,0.510294839,0.669152542,0.744196517,0.861888418,0.8619096,0.922812916,0.94892845,0.95943958,0.994054086,0.99767532,1,1,1
