Generation,Resistance Fitness=0.0,Resistance Fitness=0.01,Resistance Fitness=0.02,Resistance Fitness=0.03,Resistance Fitness=0.04,Resistance Fitness=0.05,Resistance Fitness=0.06,Resistance Fitness=0.07,Resistance Fitness=0.08,Resistance Fitness=0.09,Resistance Fitness=0.1,Resistance Fitness=0.11,Resistance Fitness=0.12,Resistance Fitness=0.13,Resistance Fitness=0.14,Resistance Fitness=0.15,Resistance Fitness=0.16,Resistance Fitness=0.17,Resistance Fitness=0.18,Resistance Fitness=0.19,Resistance Fitness=0.2,Resistance Fitness=0.21,Resistance Fitness=0.22,Resistance Fitness=0.23,Resistance Fitness=0.24,Resistance Fitness=0.25,Resistance Fitness=0.26,Resistance Fitness=0.27,Resistance Fitness=0.28,Resistance Fitness=0.29,Resistance Fitness=0.3,Resistance Fitness=0.31,Resistance Fitness=0.32,Resistance Fitness=0.33,Resistance Fitness=0.34,Resistance Fitness=0.35,Resistance Fitness=0.36,Resistance Fitness=0.37,Resistance Fitness=0.38,Resistance Fitness=0.39,Resistance Fitness=0.4,Resistance Fitness=0.41,Resistance Fitness=0.42,Resistance Fitness=0.43,Resistance Fitness=0.44,Resistance Fitness=0.45,Resistance Fitness=0.46,Resistance Fitness=0.47,Resistance Fitness=0.48,Resistance Fitness=0.49,Resistance Fitness=0.5
1,-0.00136382,0.001789356,-0.002255733,-0.005417427,0.00098025,0.002497428,0.002689411,-0.002439257,-0.001421706,-0.001976383,-0.001729697,-0.000129975,0.003501366,-0.001772917,0.003065126,0.001069877,-0.000481234,0.000418585,0.000522178,-0.001946869,-0.004229731,-0.002970094,0.001684049,0.00118503,-0.000401009,0.000954446,-0.001986907,-1.00E-05,0.000462377,-0.000245406,-0.000421462,-0.00492091,-0.000839782,-0.004413288,-0.001049339,-0.001555475,0.001216982,3.49E-05,0.000464854,-0.000969665,0.002749564,-0.001424252,0.001424858,0.002995982,-0.00217093,0.002326048,0.000851674,-0.003039301,-0.00116976,-0.002675176,0.001815227
2,1,0.992584081,0.985901495,0.978568251,0.971856979,0.963929079,0.9574148,0.950005499,0.942327343,0.935428018,0.928088856,0.920028554,0.912157337,0.904091509,0.896610263,0.889141959,0.881966265,0.876385959,0.868165368,0.859735388,0.851023172,0.844264054,0.836189318,0.827787772,0.82043838,0.813944412,0.804767781,0.799963055,0.792674434,0.783382671,0.775876259,0.766872116,0.760275304,0.753556806,0.745337762,0.736101397,0.72842317,0.722092127,0.713366312,0.708274333,0.699713456,0.691846631,0.686320022,0.674995884,0.66917511,0.66023299,0.654268152,0.645737637,0.638468286,0.630709121,0.625450678
3,1,0.993227717,0.986348349,0.980547989,0.973272171,0.966688179,0.958932999,0.951119276,0.944773097,0.937471047,0.92982634,0.923807386,0.915191718,0.906507574,0.899176151,0.890459239,0.88083158,0.875034425,0.865284818,0.860023922,0.852825948,0.841699453,0.838502838,0.829221822,0.820944485,0.809009908,0.80415885,0.795240182,0.787226939,0.777324872,0.768439964,0.760114552,0.756279,0.743864626,0.736797261,0.724878005,0.720111949,0.710823813,0.699031581,0.693120371,0.687354121,0.67620746,0.670443981,0.659907691,0.654396249,0.644378849,0.633907617,0.62643897,0.616012437,0.609394003,0.59911633
4,1,0.994887146,0.989951662,0.983984245,0.978434908,0.971615958,0.963883988,0.958559633,0.952443672,0.945866191,0.937797916,0.931077424,0.923932062,0.9153335,0.909397796,0.900253647,0.895346903,0.88262416,0.876269603,0.86989815,0.86072894,0.851860149,0.844881159,0.834809559,0.826627663,0.817675766,0.810836091,0.801875938,0.793678811,0.783253624,0.776547368,0.765612845,0.756339493,0.748607455,0.740170923,0.728909134,0.719472554,0.710215414,0.702409626,0.694648984,0.684895912,0.676594443,0.66848981,0.656810971,0.650102449,0.640916069,0.630971144,0.619988073,0.610261307,0.605642227,0.591684908
5,1,0.994446824,0.989398742,0.983799862,0.978734003,0.972461317,0.965622965,0.960869832,0.955224694,0.948061302,0.941613325,0.934797705,0.927004611,0.920184651,0.912437561,0.904312513,0.894777728,0.888792506,0.87959662,0.874738736,0.864123039,0.854790718,0.848251109,0.839385225,0.831653593,0.822808343,0.813319111,0.80471954,0.794912156,0.785875211,0.777783339,0.764614966,0.757886693,0.749351837,0.740587516,0.730903098,0.72145358,0.709418057,0.698816118,0.691376687,0.681774866,0.674580894,0.664270187,0.654560206,0.642638335,0.635293236,0.621673593,0.614147958,0.604012239,0.592568126,0.583766993
6,1,0.994819476,0.990149798,0.983905622,0.979188263,0.973931293,0.967558552,0.962832296,0.956540101,0.949050069,0.944778961,0.935185648,0.93042113,0.924236458,0.91674362,0.908315791,0.900878059,0.892246674,0.883558099,0.877966356,0.869845969,0.8579017,0.851434329,0.845962407,0.836673387,0.825620692,0.816332655,0.809208216,0.79731412,0.787935003,0.783540312,0.769233848,0.759524791,0.753210872,0.739564442,0.731123693,0.719267166,0.71011897,0.697964668,0.691066277,0.680747677,0.669632741,0.66001304,0.652712962,0.637745083,0.6291764,0.623851558,0.607723466,0.599659472,0.588622718,0.578059494
7,1,0.994829643,0.990474792,0.984571984,0.978026832,0.97393498,0.967698791,0.962489234,0.95758696,0.950425479,0.944181832,0.937669889,0.930513053,0.924193279,0.918627019,0.911046468,0.901739705,0.895575302,0.88681413,0.880316468,0.871324315,0.86382894,0.853694487,0.845595445,0.838230058,0.828917692,0.820686491,0.810271604,0.800605284,0.788944421,0.783299999,0.774942701,0.759373332,0.751657745,0.740748092,0.727566412,0.719016676,0.708445393,0.698868944,0.689294015,0.678347484,0.671977839,0.656276365,0.647959031,0.636557996,0.626016745,0.615081469,0.60513689,0.5918398,0.582931127,0.575061522
8,1,0.995468016,0.990340946,0.985103963,0.978425346,0.97402545,0.968952245,0.961736992,0.955685125,0.951426065,0.944067967,0.937915156,0.933152892,0.924850807,0.917324495,0.911659387,0.903644498,0.895243932,0.886287859,0.882117977,0.873690449,0.864012254,0.853740765,0.849341987,0.83705665,0.829719851,0.821609935,0.813101369,0.800612392,0.793433332,0.782663028,0.770609139,0.761638891,0.754809587,0.740979317,0.728448579,0.720072902,0.707477702,0.698129905,0.690099692,0.679079713,0.665605941,0.656653093,0.649026855,0.634524148,0.622798948,0.614173698,0.603244292,0.589088825,0.580358129,0.565055465
9,1,0.994729374,0.990072451,0.984772675,0.979999705,0.973079175,0.968935902,0.962689713,0.956522393,0.951289142,0.943474498,0.938407183,0.931437263,0.925866722,0.918988242,0.90931159,0.903790029,0.897812242,0.89006069,0.881203987,0.874301189,0.865170808,0.854814132,0.85074911,0.839999801,0.82994722,0.82296996,0.815574504,0.804522626,0.789134503,0.781539714,0.771690603,0.763510991,0.754392553,0.739448117,0.726803225,0.723238776,0.708323328,0.695025465,0.689578736,0.678585723,0.665716433,0.650965857,0.643299268,0.635206348,0.617841504,0.606472683,0.598057989,0.584466952,0.576450597,0.564789502
10,1,0.99459552,0.990575957,0.985175868,0.979404541,0.973438597,0.968992793,0.961900405,0.954939176,0.950365853,0.943753492,0.938455087,0.932542319,0.925106799,0.919201196,0.911946563,0.904415028,0.896694963,0.891129193,0.882567534,0.874667217,0.864987753,0.856025203,0.850856478,0.842811419,0.833009353,0.820357213,0.812824774,0.804884546,0.792393377,0.784462375,0.772013358,0.764885796,0.751065956,0.74100269,0.729519535,0.719201829,0.70910595,0.696275602,0.687355781,0.674277047,0.66730225,0.655173958,0.644724699,0.626808658,0.615902366,0.604781934,0.597981957,0.583581315,0.569206054,0.56103843
11,1,0.994957739,0.989435625,0.984267671,0.980323657,0.972952514,0.968001349,0.962866265,0.957795497,0.951317443,0.944175919,0.9375986,0.931084333,0.925194482,0.918978974,0.91295834,0.904654345,0.897933666,0.890886683,0.881672473,0.874097963,0.868496076,0.858269082,0.850651368,0.843920705,0.835339188,0.822086902,0.813511045,0.805687038,0.791670409,0.787803815,0.774636133,0.766472181,0.753397806,0.742218001,0.72926565,0.72141369,0.712942486,0.69400069,0.685119813,0.675333964,0.664640717,0.651726786,0.64245015,0.625682677,0.614604726,0.603663455,0.590672084,0.579459254,0.571618991,0.558628748
12,1,0.995224536,0.990086309,0.984701358,0.978643785,0.974108592,0.968478085,0.962342738,0.955697956,0.951104867,0.944295477,0.938040857,0.931233,0.92637156,0.918320022,0.912295365,0.905662625,0.898933844,0.889803283,0.884099984,0.872190642,0.865601532,0.859991485,0.849356143,0.844396657,0.833695185,0.822436771,0.815883214,0.806305209,0.793824811,0.786024351,0.774747266,0.767648702,0.754953914,0.744284152,0.730569922,0.721665793,0.708731279,0.693673225,0.684047294,0.671714058,0.660752239,0.651849623,0.639830338,0.624739704,0.615508545,0.601809796,0.59138018,0.57852982,0.566052431,0.554913266
13,1,0.994855808,0.989599878,0.984405048,0.980387457,0.972899183,0.967643495,0.961970348,0.956398892,0.951978814,0.944983278,0.938840659,0.930119944,0.925458286,0.918623964,0.911588013,0.906684285,0.897732027,0.891372878,0.881889295,0.876616506,0.868275425,0.853948723,0.851259538,0.842823992,0.834478774,0.823579876,0.815857521,0.806952438,0.796949476,0.78685332,0.773643737,0.765357991,0.752518109,0.742952148,0.730105835,0.719321624,0.707852477,0.693722011,0.682720676,0.671683283,0.664466089,0.6501092,0.637814325,0.62184895,0.609795107,0.601142708,0.589048448,0.574925675,0.560355998,0.552006938
14,1,0.994819018,0.990187653,0.984405117,0.978905611,0.973701339,0.967682481,0.962765009,0.9562942,0.94977895,0.945934451,0.938874306,0.93210308,0.925186417,0.917521545,0.912378492,0.905266525,0.897731615,0.891090796,0.884662976,0.87349577,0.868110835,0.860111919,0.851606966,0.84349113,0.832903229,0.824746936,0.813294439,0.808064248,0.79606902,0.787574221,0.774605691,0.766054954,0.756333981,0.742907722,0.731173209,0.721261921,0.706159504,0.696309522,0.6813435,0.670753232,0.660199507,0.649697985,0.634321487,0.622185397,0.610753802,0.599075208,0.585358637,0.576057855,0.560736473,0.552024277
15,1,0.995104139,0.990051279,0.984724175,0.979623186,0.973840207,0.96802902,0.962696914,0.956498761,0.950425914,0.944979678,0.938708649,0.932225472,0.925453372,0.91857748,0.912693936,0.904204396,0.896000363,0.890768914,0.884105076,0.875793688,0.867721421,0.859006453,0.851393079,0.842016832,0.832655874,0.823035276,0.816104199,0.805921118,0.796749105,0.787147951,0.775948209,0.76465323,0.754513177,0.741750489,0.73251736,0.717180183,0.707291859,0.693347854,0.685099508,0.672091237,0.662825015,0.649054917,0.640199165,0.619847796,0.606817672,0.596985856,0.584179393,0.570634853,0.558426787,0.548958009
16,1,0.994760471,0.989160637,0.984162317,0.979337264,0.973701663,0.967017019,0.964173791,0.956111086,0.948972381,0.94586447,0.938750612,0.932036565,0.925976002,0.918774018,0.91225931,0.906370321,0.898067084,0.889655172,0.882860474,0.874574555,0.867633016,0.85980103,0.84978791,0.840054961,0.835989969,0.826117489,0.816185326,0.808282583,0.797415881,0.786548651,0.773184475,0.76561775,0.755415469,0.742816461,0.729768198,0.719621546,0.70832213,0.69240084,0.679804185,0.673060196,0.658308166,0.645403704,0.634422909,0.619957792,0.606625342,0.596654703,0.58244794,0.57532023,0.55797271,0.547465893
