Generation,Cut rates=0.0,Cut rates=0.02,Cut rates=0.04,Cut rates=0.06,Cut rates=0.08,Cut rates=0.1,Cut rates=0.12,Cut rates=0.14,Cut rates=0.16,Cut rates=0.18,Cut rates=0.2,Cut rates=0.22,Cut rates=0.24,Cut rates=0.26,Cut rates=0.28,Cut rates=0.3,Cut rates=0.32,Cut rates=0.34,Cut rates=0.36,Cut rates=0.38,Cut rates=0.4,Cut rates=0.42,Cut rates=0.44,Cut rates=0.46,Cut rates=0.48,Cut rates=0.5,Cut rates=0.52,Cut rates=0.54,Cut rates=0.56,Cut rates=0.58,Cut rates=0.6,Cut rates=0.62,Cut rates=0.64,Cut rates=0.66,Cut rates=0.68,Cut rates=0.7,Cut rates=0.72,Cut rates=0.74,Cut rates=0.76,Cut rates=0.78,Cut rates=0.8,Cut rates=0.82,Cut rates=0.84,Cut rates=0.86,Cut rates=0.88,Cut rates=0.9,Cut rates=0.92,Cut rates=0.94,Cut rates=0.96,Cut rates=0.98,Cut rates=1.0
1,-0.002797329,0.052700804,0.118911641,0.165429814,0.220210082,0.265152043,0.308251129,0.35534544,0.397141657,0.436037332,0.470370835,0.507084269,0.538554271,0.567468428,0.59673912,0.623899723,0.646072895,0.671392506,0.692508989,0.713671376,0.733381151,0.750797011,0.768371205,0.784270393,0.798383338,0.809992219,0.823487996,0.834414937,0.845014319,0.855215418,0.86386305,0.87210917,0.880582437,0.887845605,0.893963142,0.900617861,0.9043125,0.910254419,0.914865426,0.917823988,0.922175436,0.924385007,0.928557862,0.930201901,0.931599774,0.933261706,0.935069936,0.935867684,0.937460726,0.937874105,0.936399334
2,0.249437742,0.30104363,0.358815736,0.407772958,0.455610746,0.496953603,0.538006309,0.573733685,0.608174488,0.636526262,0.664288899,0.691053872,0.712618607,0.733510614,0.751237729,0.770290165,0.782942164,0.796813939,0.807851486,0.819801118,0.82841059,0.836387833,0.843818836,0.850110639,0.856184866,0.862253197,0.868243209,0.867764421,0.872844257,0.877077976,0.880806554,0.886304922,0.891213933,0.897184631,0.895625598,0.902925869,0.910739043,0.918459197,0.923887879,0.931320156,0.941216193,0.946362895,0.960706056,0.967656687,0.972993095,0.983366414,0.990262079,0.994196422,0.996359752,0.999310618,1
3,0.165756112,0.243002665,0.310517779,0.377103169,0.436484605,0.484700967,0.530669757,0.57837631,0.618077469,0.651607784,0.681373236,0.710325216,0.736500128,0.76316486,0.780107274,0.801210583,0.817547163,0.835119741,0.849587843,0.863117644,0.879023125,0.890247886,0.905464176,0.918381406,0.92658318,0.934961553,0.946122141,0.955301253,0.963740534,0.971821106,0.97558076,0.98009129,0.985685164,0.988624696,0.991282936,0.993688267,0.996136565,0.995974854,0.997750932,0.998647865,0.998708796,0.999404506,0.999784645,1,0.999846562,1,1,1,1,1,1
4,0.126204552,0.214603838,0.307220869,0.376733482,0.437698049,0.498802022,0.550263703,0.596468751,0.64244429,0.673673579,0.711108661,0.741850647,0.7697475,0.799789558,0.821775385,0.83792646,0.857182344,0.875582249,0.891884108,0.906396427,0.921893669,0.933991676,0.943544166,0.951012042,0.958753833,0.968468745,0.974392065,0.977490421,0.981047559,0.988394078,0.98788647,0.989966423,0.988759282,0.995904561,0.9957785,0.99845638,1,0.997681844,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.094649341,0.201234013,0.287918458,0.375233844,0.439820576,0.508811597,0.564042602,0.611909269,0.658234414,0.699795779,0.735188631,0.76778275,0.79650387,0.818739602,0.841442507,0.867682075,0.88432602,0.904341821,0.917475535,0.929840366,0.942954043,0.950742694,0.958624718,0.960667604,0.968018732,0.977133782,0.983180706,0.985920664,0.983165168,0.992006221,0.991311576,0.99495914,0.994188027,0.995053495,0.997496661,1,1,0.997651604,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.078009277,0.184644966,0.279280719,0.368856114,0.448729268,0.519072098,0.572315786,0.625814961,0.672887421,0.712561668,0.757963259,0.786104754,0.815482593,0.839342666,0.866923073,0.885910526,0.902505536,0.923734822,0.930795779,0.944543178,0.94871151,0.958414785,0.965802098,0.969465157,0.978946212,0.980006182,0.986422154,0.985519093,0.988886492,0.993773604,0.995722236,0.992358398,0.994912221,0.994246318,0.994482942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.057674512,0.172563011,0.283664086,0.368867466,0.448532678,0.517604475,0.586000869,0.637580787,0.690858872,0.734217813,0.766617126,0.801191217,0.832376287,0.859549379,0.880483736,0.9026971,0.914979958,0.931542543,0.939493058,0.949858445,0.960722656,0.962369427,0.968638246,0.972395153,0.973250252,0.982777755,0.990442025,0.987940781,0.989249885,0.988020598,0.993440066,0.99433569,0.998074045,0.996762691,0.998310467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.048564533,0.168238891,0.275373718,0.367525452,0.449798996,0.521658626,0.597670693,0.648365167,0.70295901,0.745820488,0.784859327,0.819117676,0.843232663,0.867493404,0.887014228,0.908558417,0.920538215,0.937002679,0.947217737,0.949707933,0.952929672,0.963116023,0.967119228,0.975922921,0.975502185,0.983837199,0.985368975,0.986818601,0.989021669,0.990343739,0.994088061,0.997497186,0.992562203,0.990774455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.040590038,0.159243207,0.271891357,0.366757501,0.450273219,0.529622873,0.603829706,0.660708828,0.706875483,0.761124263,0.795895696,0.82519689,0.858984045,0.87538089,0.895501466,0.91359359,0.927804746,0.935159037,0.946680586,0.954043519,0.960854427,0.965722908,0.973585561,0.976411948,0.982236859,0.982069219,0.98450466,0.990864448,0.992188473,0.99321658,0.990633544,0.99592898,0.995366681,0.998405063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0.036409742,0.149557149,0.268257642,0.365792721,0.456887775,0.536930509,0.609131292,0.669794544,0.719733632,0.76893837,0.804929303,0.830368551,0.86339356,0.877496293,0.90203123,0.91711206,0.92392224,0.941800648,0.949799794,0.951796674,0.959804511,0.972778356,0.970764956,0.974997746,0.976520069,0.987876351,0.986867728,0.987692684,0.985931208,0.990249127,0.994113848,0.998513489,0.996572161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
