Generation,Resistance Fitness=0.0,Resistance Fitness=0.01,Resistance Fitness=0.02,Resistance Fitness=0.03,Resistance Fitness=0.04,Resistance Fitness=0.05,Resistance Fitness=0.06,Resistance Fitness=0.07,Resistance Fitness=0.08,Resistance Fitness=0.09,Resistance Fitness=0.1,Resistance Fitness=0.11,Resistance Fitness=0.12,Resistance Fitness=0.13,Resistance Fitness=0.14,Resistance Fitness=0.15,Resistance Fitness=0.16,Resistance Fitness=0.17,Resistance Fitness=0.18,Resistance Fitness=0.19,Resistance Fitness=0.2,Resistance Fitness=0.21,Resistance Fitness=0.22,Resistance Fitness=0.23,Resistance Fitness=0.24,Resistance Fitness=0.25,Resistance Fitness=0.26,Resistance Fitness=0.27,Resistance Fitness=0.28,Resistance Fitness=0.29,Resistance Fitness=0.3,Resistance Fitness=0.31,Resistance Fitness=0.32,Resistance Fitness=0.33,Resistance Fitness=0.34,Resistance Fitness=0.35,Resistance Fitness=0.36,Resistance Fitness=0.37,Resistance Fitness=0.38,Resistance Fitness=0.39,Resistance Fitness=0.4,Resistance Fitness=0.41,Resistance Fitness=0.42,Resistance Fitness=0.43,Resistance Fitness=0.44,Resistance Fitness=0.45,Resistance Fitness=0.46,Resistance Fitness=0.47,Resistance Fitness=0.48,Resistance Fitness=0.49,Resistance Fitness=0.5
1,0.001111698,-0.002113614,0.001452429,0.001146353,-0.000379066,0.001434648,-0.001739044,0.00144786,-0.001237642,-0.000378848,-4.50E-05,0.000509414,0.003268678,0.00048409,0.002378822,0.00083417,-0.000338816,-0.001340194,-0.000522356,-0.001087076,-0.003835317,-0.000838403,-0.000474772,-0.002441618,0.003369326,-0.003022763,0.001203762,0.002321985,0.000104559,-0.000150224,-0.002270091,-0.002421235,-0.004171386,0.00487017,0.002284039,0.002286646,0.003250904,-0.003216978,0.004779671,-0.003388359,0.000676715,0.003266353,0.000605606,0.002190399,-0.000184745,0.002698394,-0.002099514,0.002490673,-0.00030011,-0.000268734,8.02E-05
2,1,0.962807112,0.940320335,0.921674416,0.905903182,0.889496625,0.874097783,0.862355448,0.849755931,0.836980844,0.825209266,0.813694873,0.801884859,0.792093463,0.784494686,0.775026412,0.762604275,0.754517371,0.745302986,0.738093454,0.728670146,0.720727368,0.712762541,0.703504178,0.697177117,0.691509642,0.681650711,0.673034986,0.665805013,0.659469118,0.651611741,0.644945456,0.637062484,0.630029994,0.624097226,0.613930576,0.611271452,0.604594608,0.594976022,0.591243217,0.582892876,0.575568455,0.572344079,0.565836619,0.55539085,0.552878473,0.547088892,0.540334528,0.533952301,0.527724751,0.522345739
3,1,0.944816667,0.921926647,0.901913804,0.882790057,0.868550606,0.852647129,0.839912749,0.827358481,0.811966883,0.803685513,0.792507378,0.780463876,0.768867785,0.758562267,0.750096098,0.738725024,0.731247983,0.720958468,0.708597548,0.700317451,0.685511508,0.684425881,0.67569323,0.664433484,0.659724473,0.648318852,0.640268476,0.632863906,0.625324601,0.618872053,0.608848695,0.597602654,0.593733985,0.589419657,0.580677351,0.570004096,0.565389815,0.561604799,0.551946171,0.543613886,0.53873986,0.526549381,0.525738363,0.515520953,0.513512296,0.501865709,0.490814481,0.48510886,0.481639816,0.473754453
4,1,0.943651447,0.918823289,0.897817579,0.881001229,0.865564837,0.850210054,0.835464094,0.819245928,0.806355217,0.795197089,0.784836712,0.774275667,0.763670297,0.752703781,0.742869505,0.7332202,0.722969621,0.709066511,0.700796128,0.692150953,0.684990471,0.673620695,0.666433887,0.657682641,0.647755965,0.637461932,0.630196423,0.622863553,0.611623464,0.60289097,0.595074906,0.587630933,0.583749098,0.573884099,0.56404038,0.559443708,0.546705123,0.543833618,0.534191387,0.52875069,0.520560411,0.509773678,0.505262528,0.494705652,0.489181279,0.481209629,0.474116623,0.467976546,0.460495933,0.457093214
5,1,0.945956706,0.920778419,0.898450346,0.883079084,0.866014763,0.847714107,0.83919833,0.824631847,0.810257308,0.798369443,0.785844529,0.774329479,0.761245727,0.748349164,0.742277623,0.727981736,0.71816847,0.708143566,0.698837968,0.691268874,0.679531832,0.670577173,0.658835942,0.649297564,0.643280509,0.635007253,0.623770508,0.614856232,0.604963647,0.598225944,0.587411365,0.578308677,0.576569663,0.562359764,0.557450695,0.547741935,0.539616152,0.534690596,0.52530217,0.515360138,0.509140142,0.500398466,0.488702598,0.485947398,0.480972648,0.474744813,0.462731436,0.454117893,0.448254847,0.437835373
6,1,0.948350308,0.922730767,0.904074882,0.884942546,0.867659325,0.854903162,0.837827189,0.824265184,0.811252941,0.798864529,0.788187932,0.776088993,0.76529012,0.752744206,0.743699389,0.728330144,0.720500656,0.707828611,0.696176237,0.691390135,0.677653902,0.669113178,0.65920008,0.646375941,0.637382279,0.631257472,0.618541963,0.611970265,0.601852038,0.592840376,0.586465454,0.579285654,0.563892479,0.561310454,0.549751182,0.542920268,0.530151094,0.522311511,0.517608759,0.507434315,0.502237449,0.494861632,0.485923401,0.476993146,0.466376483,0.463838661,0.45841563,0.446968216,0.435161311,0.428921057
7,1,0.949495553,0.927009477,0.904556274,0.887846525,0.871904372,0.856062923,0.841771964,0.828937506,0.815427908,0.801843155,0.7913551,0.778237885,0.768891217,0.753675568,0.74429503,0.734884887,0.719331328,0.709520979,0.701923221,0.688494697,0.678054642,0.668864837,0.663431439,0.646937959,0.638737362,0.628964354,0.624198352,0.612311208,0.603605595,0.594733475,0.582140873,0.575657272,0.564411663,0.558422429,0.547201207,0.536234867,0.532650467,0.52248425,0.510844012,0.502322677,0.496824333,0.489786335,0.482355055,0.474295845,0.467099362,0.457663628,0.446859048,0.440681261,0.430415283,0.421589876
8,1,0.950021064,0.925721073,0.907135634,0.890140276,0.874036492,0.863387786,0.846836236,0.831507697,0.819296354,0.805101347,0.796293043,0.779729999,0.767604019,0.761192157,0.744697921,0.731777281,0.72508546,0.713265092,0.703155957,0.691925584,0.680304015,0.670440233,0.660054586,0.645696058,0.638237324,0.629919213,0.619079969,0.612017789,0.599386752,0.589889293,0.579650272,0.574031108,0.566237385,0.555821284,0.54714396,0.539368879,0.532392913,0.521569572,0.509999,0.503721947,0.497298079,0.485018092,0.477209512,0.470775051,0.46164179,0.453810455,0.447626796,0.437438502,0.428977372,0.420565884
9,1,0.947939122,0.927781286,0.908905764,0.894227454,0.877427611,0.864246813,0.848619308,0.837113268,0.824134467,0.807882931,0.794685385,0.785415678,0.773523579,0.762216996,0.749207593,0.735746765,0.728914431,0.716377454,0.702087315,0.692361962,0.679266557,0.671305342,0.664042916,0.649975067,0.637761973,0.629853606,0.62253219,0.611177158,0.6028028,0.595031006,0.582725958,0.571984183,0.563433618,0.552633295,0.544904036,0.538903431,0.526652983,0.519219589,0.510495887,0.49965508,0.491332568,0.479526898,0.474367081,0.466378176,0.457472844,0.447827494,0.441709229,0.432231487,0.42451719,0.417455515
10,1,0.948382657,0.92520122,0.907720972,0.894125865,0.876607253,0.862490136,0.848118545,0.836779654,0.824420043,0.812596022,0.799882397,0.789160894,0.772888076,0.761282316,0.751285538,0.738458012,0.730954383,0.719847972,0.704197089,0.693641358,0.683895884,0.675091328,0.661399942,0.650231602,0.639851436,0.63119349,0.622004047,0.613634775,0.602775529,0.591882571,0.581229741,0.572379909,0.56299362,0.551887523,0.543964806,0.535351046,0.530020776,0.517833461,0.508058296,0.499478759,0.488636534,0.483487397,0.471754605,0.465381337,0.455407096,0.449383161,0.438677966,0.430505099,0.421844254,0.411555391
