Generation,Resistance Fitness=0.0,Resistance Fitness=0.01,Resistance Fitness=0.02,Resistance Fitness=0.03,Resistance Fitness=0.04,Resistance Fitness=0.05,Resistance Fitness=0.06,Resistance Fitness=0.07,Resistance Fitness=0.08,Resistance Fitness=0.09,Resistance Fitness=0.1,Resistance Fitness=0.11,Resistance Fitness=0.12,Resistance Fitness=0.13,Resistance Fitness=0.14,Resistance Fitness=0.15,Resistance Fitness=0.16,Resistance Fitness=0.17,Resistance Fitness=0.18,Resistance Fitness=0.19,Resistance Fitness=0.2,Resistance Fitness=0.21,Resistance Fitness=0.22,Resistance Fitness=0.23,Resistance Fitness=0.24,Resistance Fitness=0.25,Resistance Fitness=0.26,Resistance Fitness=0.27,Resistance Fitness=0.28,Resistance Fitness=0.29,Resistance Fitness=0.3,Resistance Fitness=0.31,Resistance Fitness=0.32,Resistance Fitness=0.33,Resistance Fitness=0.34,Resistance Fitness=0.35,Resistance Fitness=0.36,Resistance Fitness=0.37,Resistance Fitness=0.38,Resistance Fitness=0.39,Resistance Fitness=0.4,Resistance Fitness=0.41,Resistance Fitness=0.42,Resistance Fitness=0.43,Resistance Fitness=0.44,Resistance Fitness=0.45,Resistance Fitness=0.46,Resistance Fitness=0.47,Resistance Fitness=0.48,Resistance Fitness=0.49,Resistance Fitness=0.5
1,0.001322968,0.000495282,0.000854829,0.002067015,-0.002448237,-0.002321962,0.002535756,0.002360902,0.006598185,0.000808069,4.99E-06,0.00222782,0.003863618,0.003220644,0.004150643,-0.001109761,-0.000170046,0.000770765,-0.004573041,-0.000195195,0.004470753,-0.001193317,-0.000623734,8.02E-05,0.001352842,0.001025774,-0.000843671,-0.000351466,0.005582806,9.96E-06,0.000225106,-0.0034752,0.000250181,-0.000285454,0.001640205,0.00179335,-0.003735796,-0.00083032,-0.00447545,-0.001706519,-0.000961994,0.002033089,-0.000486364,-0.001233512,-0.000235446,-0.000744248,0.005343218,0.003762295,-0.001573097,0.002533796,-0.00348903
2,1,0.963028911,0.940141847,0.921474247,0.904341431,0.889804746,0.87341245,0.861384304,0.850115613,0.836521531,0.823456247,0.814528817,0.802564103,0.792417236,0.784711334,0.773196287,0.76631183,0.754979533,0.745192571,0.736890276,0.729896287,0.720366772,0.714656915,0.704586871,0.695205172,0.686651059,0.682117449,0.675265051,0.66519294,0.660793392,0.652246298,0.645757215,0.638331492,0.634561787,0.62265785,0.616613947,0.610067521,0.605157369,0.598226279,0.590703406,0.586508955,0.575895295,0.570921083,0.563994866,0.559887615,0.552948225,0.547851387,0.53896026,0.532899559,0.526952508,0.5202278
3,1,0.944914041,0.919665637,0.902440242,0.882094424,0.870142004,0.854846155,0.839409486,0.826457875,0.816274273,0.800728693,0.790547596,0.779968308,0.76837441,0.757841662,0.748038601,0.737279227,0.729829298,0.719212566,0.70900983,0.701670346,0.691799639,0.686189043,0.673917063,0.668298002,0.655492093,0.648473051,0.639598845,0.631970428,0.623257509,0.616488364,0.607952757,0.603621499,0.594786041,0.588326607,0.579390976,0.568900372,0.566010102,0.556441414,0.548967535,0.541681979,0.536460135,0.530571695,0.522031235,0.516708122,0.506773365,0.505141074,0.491656868,0.488359743,0.483496945,0.470063401
4,1,0.943656589,0.920217539,0.897247873,0.878918604,0.861921038,0.850378289,0.836797937,0.821537426,0.807547454,0.796838291,0.78362576,0.775540555,0.760557974,0.753059447,0.741635427,0.733446885,0.720557109,0.710940953,0.700562903,0.693822722,0.682051643,0.671184593,0.664096596,0.656249069,0.647806486,0.640229429,0.629188218,0.622666158,0.61040867,0.603773301,0.596576089,0.588405523,0.581926634,0.571108358,0.564426379,0.554469246,0.551470074,0.540875635,0.532909235,0.526612333,0.521780603,0.510699907,0.505781544,0.496692365,0.494202197,0.485003994,0.477365826,0.469678573,0.458580029,0.454334
5,1,0.946469876,0.922097104,0.899132141,0.881363124,0.865585735,0.849477037,0.835970782,0.824895532,0.810543002,0.79732327,0.787123054,0.773018834,0.763301324,0.75311273,0.74052906,0.730706406,0.718281215,0.712600878,0.697592678,0.687418185,0.683829813,0.669577489,0.661471562,0.652267786,0.638451789,0.631725867,0.623057331,0.616964775,0.60794986,0.592032761,0.586996397,0.581243075,0.57561589,0.562657582,0.55521772,0.549042493,0.540552952,0.532117894,0.524432618,0.51392915,0.506226672,0.499980074,0.494192165,0.484394781,0.477256307,0.47048364,0.462354986,0.457437886,0.450041707,0.437770674
6,1,0.948490804,0.923298178,0.903977537,0.885705808,0.869911381,0.854327656,0.835804646,0.824919876,0.812127753,0.799264989,0.788619713,0.775742705,0.76307836,0.751547806,0.739700113,0.730478452,0.717834446,0.709310786,0.699581158,0.686330864,0.67750902,0.668630339,0.658642997,0.648487369,0.640899628,0.630767458,0.621114181,0.611317897,0.602236903,0.595378869,0.582808249,0.578503058,0.569408177,0.556224819,0.552312029,0.542034408,0.535039372,0.525467211,0.52164339,0.510963779,0.501365908,0.494302066,0.488556684,0.476852641,0.469422596,0.45894595,0.456405672,0.445317934,0.440497673,0.43097741
7,1,0.946868673,0.92550624,0.906327509,0.889704667,0.870308478,0.859047895,0.842983993,0.829500959,0.813477029,0.801213431,0.792499727,0.777116999,0.768432712,0.755077826,0.74601871,0.733391648,0.721166514,0.71075377,0.699294555,0.690812774,0.67833746,0.66908498,0.658693924,0.64674724,0.639772061,0.630076022,0.622843944,0.61156917,0.600852657,0.589970898,0.582915126,0.580560407,0.56980087,0.55493645,0.545909715,0.539808957,0.532232405,0.520290421,0.513531314,0.50802,0.492961059,0.489743039,0.477338457,0.47129725,0.460424444,0.457871839,0.447606306,0.44007455,0.431102126,0.421593856
8,1,0.949516399,0.925367424,0.909123365,0.887527968,0.878144862,0.860478771,0.843933356,0.830554671,0.819786697,0.807506362,0.795036824,0.785523404,0.768696916,0.756357295,0.745121768,0.733756654,0.721396189,0.712556513,0.701821337,0.690182969,0.681678685,0.671826934,0.657969118,0.653629788,0.638548848,0.627381029,0.619108809,0.613152988,0.603161418,0.591603207,0.587649804,0.572830102,0.564785332,0.558288433,0.545735751,0.536783828,0.530817117,0.520915894,0.514838768,0.501180635,0.490899344,0.487452009,0.477240007,0.468359502,0.458387826,0.455566492,0.445661995,0.435651666,0.427780448,0.41716551
9,1,0.95022732,0.927686165,0.908950456,0.89273286,0.878100096,0.863753304,0.848965955,0.833234637,0.820131411,0.811524353,0.800115514,0.784758839,0.773011993,0.761413208,0.748926067,0.738966854,0.723699122,0.711292821,0.704973696,0.694056544,0.680533013,0.672983389,0.66220699,0.65388764,0.642024144,0.631380881,0.617754013,0.611362381,0.601038498,0.592266356,0.581610433,0.573374833,0.564045998,0.550995739,0.544026257,0.539086506,0.52880841,0.518129637,0.508263635,0.50119031,0.493762015,0.479868987,0.47777209,0.465363081,0.4564532,0.45375591,0.440147561,0.434441692,0.424937531,0.416694964
10,1,0.948395313,0.927957296,0.909520083,0.893847509,0.878752916,0.86627007,0.852151268,0.8367232,0.826264106,0.813015947,0.799824438,0.786160464,0.774451257,0.762016127,0.754359933,0.737439709,0.728163155,0.717193211,0.706627096,0.698785816,0.686553605,0.672581983,0.662889618,0.650853814,0.638578568,0.631904705,0.62120855,0.612555064,0.605158301,0.592679221,0.582938983,0.574576398,0.564657354,0.556365428,0.544708782,0.533487959,0.525931783,0.519196524,0.511276694,0.506528057,0.490683292,0.483200144,0.471064225,0.462999169,0.457510308,0.448957758,0.437937543,0.433567098,0.418341922,0.412593736
