Haploinsufficiency,Embryo Cut Rate,Generations to 99% drive-carrying individuals
1,0,11.6
1,0.02,11.9
1,0.04,11.9
1,0.06,12.2
1,0.08,12.4
1,0.1,12.7
1,0.12,12.9
1,0.14,13.4
1,0.16,13.6
1,0.18,14.1
1,0.2,14.4
1,0.22,14.6
1,0.24,15.5
1,0.26,15.9
1,0.28,16.8
1,0.3,18.2
1,0.32,20.5
1,0.34,22.9
1,0.36,28.1
1,0.38,30.667
1,0.4,1000
1,0.42,1000
1,0.44,1000
1,0.46,1000
1,0.48,1000
1,0.5,1000
1,0.52,1000
1,0.54,1000
1,0.56,1000
1,0.58,1000
1,0.6,1000
1,0.62,1000
1,0.64,1000
1,0.66,1000
1,0.68,1000
1,0.7,1000
1,0.72,1000
1,0.74,1000
1,0.76,1000
1,0.78,1000
1,0.8,1000
1,0.82,1000
1,0.84,1000
1,0.86,1000
1,0.88,1000
1,0.9,1000
1,0.92,1000
1,0.94,1000
1,0.96,1000
1,0.98,1000
1,1,1000
0.98,0,11.4
0.98,0.02,11.6
0.98,0.04,11.9
0.98,0.06,12
0.98,0.08,12.4
0.98,0.1,12.7
0.98,0.12,13.1
0.98,0.14,13.3
0.98,0.16,13.7
0.98,0.18,14
0.98,0.2,14.7
0.98,0.22,15.2
0.98,0.24,15.3
0.98,0.26,16.3
0.98,0.28,16.4
0.98,0.3,17.9
0.98,0.32,19.4
0.98,0.34,21.8
0.98,0.36,23.9
0.98,0.38,29.333
0.98,0.4,500
0.98,0.42,1000
0.98,0.44,1000
0.98,0.46,1000
0.98,0.48,1000
0.98,0.5,1000
0.98,0.52,1000
0.98,0.54,1000
0.98,0.56,1000
0.98,0.58,1000
0.98,0.6,1000
0.98,0.62,1000
0.98,0.64,1000
0.98,0.66,1000
0.98,0.68,1000
0.98,0.7,1000
0.98,0.72,1000
0.98,0.74,1000
0.98,0.76,1000
0.98,0.78,1000
0.98,0.8,1000
0.98,0.82,1000
0.98,0.84,1000
0.98,0.86,1000
0.98,0.88,1000
0.98,0.9,1000
0.98,0.92,1000
0.98,0.94,1000
0.98,0.96,1000
0.98,0.98,1000
0.98,1,1000
0.96,0,11.8
0.96,0.02,12
0.96,0.04,12
0.96,0.06,12.3
0.96,0.08,12.5
0.96,0.1,12.9
0.96,0.12,13.2
0.96,0.14,13.4
0.96,0.16,13.6
0.96,0.18,14.1
0.96,0.2,14.3
0.96,0.22,14.8
0.96,0.24,15.5
0.96,0.26,16
0.96,0.28,16.6
0.96,0.3,17.6
0.96,0.32,18.6
0.96,0.34,20.1
0.96,0.36,23.4
0.96,0.38,28
0.96,0.4,33.333
0.96,0.42,38
0.96,0.44,1000
0.96,0.46,1000
0.96,0.48,1000
0.96,0.5,1000
0.96,0.52,1000
0.96,0.54,1000
0.96,0.56,1000
0.96,0.58,1000
0.96,0.6,1000
0.96,0.62,1000
0.96,0.64,1000
0.96,0.66,1000
0.96,0.68,1000
0.96,0.7,1000
0.96,0.72,1000
0.96,0.74,1000
0.96,0.76,1000
0.96,0.78,1000
0.96,0.8,1000
0.96,0.82,1000
0.96,0.84,1000
0.96,0.86,1000
0.96,0.88,1000
0.96,0.9,1000
0.96,0.92,1000
0.96,0.94,1000
0.96,0.96,1000
0.96,0.98,1000
0.96,1,1000
0.94,0,12.1
0.94,0.02,12
0.94,0.04,12
0.94,0.06,12.5
0.94,0.08,12.8
0.94,0.1,12.8
0.94,0.12,12.9
0.94,0.14,13.5
0.94,0.16,13.9
0.94,0.18,13.9
0.94,0.2,14.3
0.94,0.22,15
0.94,0.24,15.3
0.94,0.26,15.7
0.94,0.28,16.3
0.94,0.3,17.6
0.94,0.32,17.9
0.94,0.34,18.9
0.94,0.36,22
0.94,0.38,23.1
0.94,0.4,27
0.94,0.42,39
0.94,0.44,1000
0.94,0.46,1000
0.94,0.48,1000
0.94,0.5,1000
0.94,0.52,1000
0.94,0.54,1000
0.94,0.56,1000
0.94,0.58,1000
0.94,0.6,1000
0.94,0.62,1000
0.94,0.64,1000
0.94,0.66,1000
0.94,0.68,1000
0.94,0.7,1000
0.94,0.72,1000
0.94,0.74,1000
0.94,0.76,1000
0.94,0.78,1000
0.94,0.8,1000
0.94,0.82,1000
0.94,0.84,1000
0.94,0.86,1000
0.94,0.88,1000
0.94,0.9,1000
0.94,0.92,1000
0.94,0.94,1000
0.94,0.96,1000
0.94,0.98,1000
0.94,1,1000
0.92,0,12
0.92,0.02,12.2
0.92,0.04,12.3
0.92,0.06,12.3
0.92,0.08,12.4
0.92,0.1,13
0.92,0.12,13.4
0.92,0.14,13.5
0.92,0.16,13.9
0.92,0.18,14
0.92,0.2,14.4
0.92,0.22,14.8
0.92,0.24,15.3
0.92,0.26,15.7
0.92,0.28,16.4
0.92,0.3,16.7
0.92,0.32,17.7
0.92,0.34,18.5
0.92,0.36,20
0.92,0.38,22.9
0.92,0.4,25.6
0.92,0.42,29.5
0.92,0.44,26
0.92,0.46,1000
0.92,0.48,1000
0.92,0.5,1000
0.92,0.52,1000
0.92,0.54,1000
0.92,0.56,1000
0.92,0.58,1000
0.92,0.6,1000
0.92,0.62,1000
0.92,0.64,1000
0.92,0.66,1000
0.92,0.68,1000
0.92,0.7,1000
0.92,0.72,1000
0.92,0.74,1000
0.92,0.76,1000
0.92,0.78,1000
0.92,0.8,1000
0.92,0.82,1000
0.92,0.84,1000
0.92,0.86,1000
0.92,0.88,1000
0.92,0.9,1000
0.92,0.92,1000
0.92,0.94,1000
0.92,0.96,1000
0.92,0.98,1000
0.92,1,1000
0.9,0,12
0.9,0.02,12
0.9,0.04,12.2
0.9,0.06,12.9
0.9,0.08,12.9
0.9,0.1,13
0.9,0.12,13
0.9,0.14,13.3
0.9,0.16,13.9
0.9,0.18,14.1
0.9,0.2,14.7
0.9,0.22,14.8
0.9,0.24,15.5
0.9,0.26,15.4
0.9,0.28,15.8
0.9,0.3,16.8
0.9,0.32,18.1
0.9,0.34,18.1
0.9,0.36,19.8
0.9,0.38,21.3
0.9,0.4,23.2
0.9,0.42,27
0.9,0.44,41.667
0.9,0.46,1000
0.9,0.48,1000
0.9,0.5,1000
0.9,0.52,1000
0.9,0.54,1000
0.9,0.56,1000
0.9,0.58,1000
0.9,0.6,1000
0.9,0.62,1000
0.9,0.64,1000
0.9,0.66,1000
0.9,0.68,1000
0.9,0.7,1000
0.9,0.72,1000
0.9,0.74,1000
0.9,0.76,1000
0.9,0.78,1000
0.9,0.8,1000
0.9,0.82,1000
0.9,0.84,1000
0.9,0.86,1000
0.9,0.88,1000
0.9,0.9,1000
0.9,0.92,1000
0.9,0.94,1000
0.9,0.96,1000
0.9,0.98,1000
0.9,1,1000
0.88,0,12.1
0.88,0.02,12.2
0.88,0.04,12.9
0.88,0.06,13
0.88,0.08,12.9
0.88,0.1,13.2
0.88,0.12,13.2
0.88,0.14,13.5
0.88,0.16,13.9
0.88,0.18,14.2
0.88,0.2,14.5
0.88,0.22,14.9
0.88,0.24,15.2
0.88,0.26,15.3
0.88,0.28,15.7
0.88,0.3,16.7
0.88,0.32,16.9
0.88,0.34,17.9
0.88,0.36,18.5
0.88,0.38,20.6
0.88,0.4,22.3
0.88,0.42,26.7
0.88,0.44,29.167
0.88,0.46,1000
0.88,0.48,1000
0.88,0.5,1000
