Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.5,0.6,1000
0.5,0.61,1000
0.5,0.62,1000
0.5,0.63,1000
0.5,0.64,1000
0.5,0.65,1000
0.5,0.66,1000
0.5,0.67,1000
0.5,0.68,1000
0.5,0.69,1000
0.5,0.7,1000
0.5,0.71,1000
0.5,0.72,1000
0.5,0.73,1000
0.5,0.74,1000
0.5,0.75,1000
0.5,0.76,1000
0.5,0.77,1000
0.5,0.78,1000
0.5,0.79,1000
0.5,0.8,1000
0.5,0.81,1000
0.5,0.82,1000
0.5,0.83,1000
0.5,0.84,1000
0.5,0.85,1000
0.5,0.86,1000
0.5,0.87,24
0.5,0.88,12.125
0.5,0.89,8.4211
0.5,0.9,6.85
0.5,0.91,6
0.5,0.92,4.35
0.5,0.93,4.3
0.5,0.94,3.15
0.5,0.95,2.65
0.5,0.96,2.2
0.5,0.97,1
0.5,0.98,1
0.5,0.99,1
0.5,1,1
0.51,0.6,1000
0.51,0.61,1000
0.51,0.62,1000
0.51,0.63,1000
0.51,0.64,1000
0.51,0.65,1000
0.51,0.66,1000
0.51,0.67,1000
0.51,0.68,1000
0.51,0.69,1000
0.51,0.7,1000
0.51,0.71,1000
0.51,0.72,1000
0.51,0.73,1000
0.51,0.74,1000
0.51,0.75,1000
0.51,0.76,1000
0.51,0.77,1000
0.51,0.78,1000
0.51,0.79,1000
0.51,0.8,1000
0.51,0.81,1000
0.51,0.82,1000
0.51,0.83,1000
0.51,0.84,1000
0.51,0.85,1000
0.51,0.86,12
0.51,0.87,9.75
0.51,0.88,9.6667
0.51,0.89,7.1
0.51,0.9,6.15
0.51,0.91,5.65
0.51,0.92,4.8
0.51,0.93,3.8
0.51,0.94,3.45
0.51,0.95,2.55
0.51,0.96,2.2
0.51,0.97,1
0.51,0.98,1
0.51,0.99,1
0.51,1,1
0.52,0.6,1000
0.52,0.61,1000
0.52,0.62,1000
0.52,0.63,1000
0.52,0.64,1000
0.52,0.65,1000
0.52,0.66,1000
0.52,0.67,1000
0.52,0.68,1000
0.52,0.69,1000
0.52,0.7,1000
0.52,0.71,1000
0.52,0.72,1000
0.52,0.73,1000
0.52,0.74,1000
0.52,0.75,1000
0.52,0.76,1000
0.52,0.77,1000
0.52,0.78,1000
0.52,0.79,1000
0.52,0.8,1000
0.52,0.81,1000
0.52,0.82,1000
0.52,0.83,1000
0.52,0.84,1000
0.52,0.85,1000
0.52,0.86,9.6667
0.52,0.87,11.545
0.52,0.88,9.6316
0.52,0.89,7.75
0.52,0.9,6.35
0.52,0.91,5.3
0.52,0.92,4.6
0.52,0.93,3.65
0.52,0.94,3.15
0.52,0.95,2.55
