Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.5,0.6,1000
0.5,0.61,1000
0.5,0.62,1000
0.5,0.63,1000
0.5,0.64,1000
0.5,0.65,1000
0.5,0.66,1000
0.5,0.67,1000
0.5,0.68,1000
0.5,0.69,1000
0.5,0.7,1000
0.5,0.71,1000
0.5,0.72,1000
0.5,0.73,1000
0.5,0.74,1000
0.5,0.75,1000
0.5,0.76,1000
0.5,0.77,1000
0.5,0.78,24.0
0.5,0.79,11.778
0.5,0.8,8.9
0.5,0.81,7.4
0.5,0.82,6.2
0.5,0.83,6.0
0.5,0.84,5.1
0.5,0.85,5.0
0.5,0.86,4.2
0.5,0.87,4.0
0.5,0.88,4.0
0.5,0.89,3.5
0.5,0.9,3.0
0.5,0.91,3.0
0.5,0.92,3.0
0.5,0.93,2.0
0.5,0.94,2.0
0.5,0.95,1.2
0.5,0.96,1.0
0.5,0.97,1.0
0.5,0.98,1.0
0.5,0.99,1.0
0.5,1.0,1.0
0.51,0.6,1000
0.51,0.61,1000
0.51,0.62,1000
0.51,0.63,1000
0.51,0.64,1000
0.51,0.65,1000
0.51,0.66,1000
0.51,0.67,1000
0.51,0.68,1000
0.51,0.69,1000
0.51,0.7,1000
0.51,0.71,1000
0.51,0.72,1000
0.51,0.73,1000
0.51,0.74,1000
0.51,0.75,1000
0.51,0.76,1000
0.51,0.77,1000
0.51,0.78,14.0
0.51,0.79,10.6
0.51,0.8,8.2
0.51,0.81,6.9
0.51,0.82,6.1
0.51,0.83,5.9
0.51,0.84,5.0
0.51,0.85,4.9
0.51,0.86,4.1
0.51,0.87,4.0
0.51,0.88,4.0
0.51,0.89,3.5
0.51,0.9,3.0
0.51,0.91,3.0
0.51,0.92,2.9
0.51,0.93,2.0
0.51,0.94,2.0
0.51,0.95,1.3
0.51,0.96,1.0
0.51,0.97,1.0
0.51,0.98,1.0
0.51,0.99,1.0
0.51,1.0,1.0
0.52,0.6,1000
0.52,0.61,1000
0.52,0.62,1000
0.52,0.63,1000
0.52,0.64,1000
0.52,0.65,1000
0.52,0.66,1000
0.52,0.67,1000
0.52,0.68,1000
0.52,0.69,1000
0.52,0.7,1000
0.52,0.71,1000
0.52,0.72,1000
0.52,0.73,1000
0.52,0.74,1000
0.52,0.75,1000
0.52,0.76,1000
0.52,0.77,1000
0.52,0.78,11.444
0.52,0.79,8.8
0.52,0.8,7.8
0.52,0.81,6.5
0.52,0.82,6.0
0.52,0.83,5.6
0.52,0.84,5.0
0.52,0.85,4.8
0.52,0.86,4.0
0.52,0.87,4.0
0.52,0.88,4.0
0.52,0.89,3.3
0.52,0.9,3.0
0.52,0.91,3.0
