Haploinsufficiency,Embryo Cut Rate,Generations to 99% drive-carrying individuals
1,0,8.5
1,0.02,8.8
1,0.04,8.9
1,0.06,9
1,0.08,9
1,0.1,9.1
1,0.12,9.3
1,0.14,10
1,0.16,10
1,0.18,10
1,0.2,10.6
1,0.22,11
1,0.24,11.1
1,0.26,12
1,0.28,12.3
1,0.3,13.1
1,0.32,14
1,0.34,14.8
1,0.36,16.4
1,0.38,18.8
1,0.4,23.333
1,0.42,32
1,0.44,1000
1,0.46,1000
1,0.48,1000
1,0.5,1000
1,0.52,1000
1,0.54,1000
1,0.56,1000
1,0.58,1000
1,0.6,1000
1,0.62,1000
1,0.64,1000
1,0.66,1000
1,0.68,1000
1,0.7,1000
1,0.72,1000
1,0.74,1000
1,0.76,1000
1,0.78,1000
1,0.8,1000
1,0.82,1000
1,0.84,1000
1,0.86,1000
1,0.88,1000
1,0.9,1000
1,0.92,1000
1,0.94,1000
1,0.96,1000
1,0.98,1000
1,1,1000
0.98,0,8.6
0.98,0.02,8.9
0.98,0.04,9
0.98,0.06,9
0.98,0.08,9
0.98,0.1,9.1
0.98,0.12,9.5
0.98,0.14,10
0.98,0.16,10
0.98,0.18,10.1
0.98,0.2,10.7
0.98,0.22,11
0.98,0.24,11.2
0.98,0.26,12
0.98,0.28,12.3
0.98,0.3,12.9
0.98,0.32,13.3
0.98,0.34,14.8
0.98,0.36,15.7
0.98,0.38,17
0.98,0.4,22.1
0.98,0.42,27
0.98,0.44,1000
0.98,0.46,1000
0.98,0.48,1000
0.98,0.5,1000
0.98,0.52,1000
0.98,0.54,1000
0.98,0.56,1000
0.98,0.58,1000
0.98,0.6,1000
0.98,0.62,1000
0.98,0.64,1000
0.98,0.66,1000
0.98,0.68,1000
0.98,0.7,1000
0.98,0.72,1000
0.98,0.74,1000
0.98,0.76,1000
0.98,0.78,1000
0.98,0.8,1000
0.98,0.82,1000
0.98,0.84,1000
0.98,0.86,1000
0.98,0.88,1000
0.98,0.9,1000
0.98,0.92,1000
0.98,0.94,1000
0.98,0.96,1000
0.98,0.98,1000
0.98,1,1000
0.96,0,8.8
0.96,0.02,9
0.96,0.04,9
0.96,0.06,9
0.96,0.08,9
0.96,0.1,9
0.96,0.12,9.7
0.96,0.14,10
0.96,0.16,10
0.96,0.18,10
0.96,0.2,10.6
0.96,0.22,11
0.96,0.24,11.1
0.96,0.26,11.7
0.96,0.28,12
0.96,0.3,12.9
0.96,0.32,13.1
0.96,0.34,14.1
0.96,0.36,15.1
0.96,0.38,16.6
0.96,0.4,18.7
0.96,0.42,26.143
0.96,0.44,25
0.96,0.46,1000
0.96,0.48,1000
0.96,0.5,1000
0.96,0.52,1000
0.96,0.54,1000
0.96,0.56,1000
0.96,0.58,1000
0.96,0.6,1000
0.96,0.62,1000
0.96,0.64,1000
0.96,0.66,1000
0.96,0.68,1000
0.96,0.7,1000
0.96,0.72,1000
0.96,0.74,1000
0.96,0.76,1000
0.96,0.78,1000
0.96,0.8,1000
0.96,0.82,1000
0.96,0.84,1000
0.96,0.86,1000
0.96,0.88,1000
0.96,0.9,1000
0.96,0.92,1000
0.96,0.94,1000
0.96,0.96,1000
0.96,0.98,1000
0.96,1,1000
0.94,0,9
0.94,0.02,9
0.94,0.04,9
0.94,0.06,9
0.94,0.08,9
0.94,0.1,9.2
0.94,0.12,9.9
0.94,0.14,10
0.94,0.16,10
0.94,0.18,10.1
0.94,0.2,10.5
0.94,0.22,11
0.94,0.24,11
0.94,0.26,11.6
0.94,0.28,12
0.94,0.3,12.6
0.94,0.32,13
0.94,0.34,13.7
0.94,0.36,14.8
0.94,0.38,15.8
0.94,0.4,18
0.94,0.42,21.1
0.94,0.44,27.714
0.94,0.46,1000
0.94,0.48,1000
0.94,0.5,1000
0.94,0.52,1000
0.94,0.54,1000
0.94,0.56,1000
0.94,0.58,1000
0.94,0.6,1000
0.94,0.62,1000
0.94,0.64,1000
0.94,0.66,1000
0.94,0.68,1000
0.94,0.7,1000
0.94,0.72,1000
0.94,0.74,1000
0.94,0.76,1000
0.94,0.78,1000
0.94,0.8,1000
0.94,0.82,1000
0.94,0.84,1000
0.94,0.86,1000
0.94,0.88,1000
0.94,0.9,1000
0.94,0.92,1000
0.94,0.94,1000
0.94,0.96,1000
0.94,0.98,1000
0.94,1,1000
0.92,0,9
0.92,0.02,9
0.92,0.04,9
0.92,0.06,9
0.92,0.08,9
0.92,0.1,9.2
0.92,0.12,9.7
0.92,0.14,10
0.92,0.16,10
0.92,0.18,10
0.92,0.2,10.4
0.92,0.22,11
0.92,0.24,11.2
0.92,0.26,11.6
0.92,0.28,11.9
0.92,0.3,12.2
0.92,0.32,12.9
0.92,0.34,13.5
0.92,0.36,14.1
0.92,0.38,15.3
0.92,0.4,16.6
0.92,0.42,18.9
0.92,0.44,22.375
0.92,0.46,1000
0.92,0.48,1000
0.92,0.5,1000
0.92,0.52,1000
0.92,0.54,1000
0.92,0.56,1000
0.92,0.58,1000
0.92,0.6,1000
0.92,0.62,1000
0.92,0.64,1000
0.92,0.66,1000
0.92,0.68,1000
0.92,0.7,1000
0.92,0.72,1000
0.92,0.74,1000
0.92,0.76,1000
0.92,0.78,1000
0.92,0.8,1000
0.92,0.82,1000
0.92,0.84,1000
0.92,0.86,1000
0.92,0.88,1000
0.92,0.9,1000
0.92,0.92,1000
0.92,0.94,1000
0.92,0.96,1000
0.92,0.98,1000
0.92,1,1000
0.9,0,9
0.9,0.02,9
0.9,0.04,9
0.9,0.06,9
0.9,0.08,9.1
0.9,0.1,9.4
0.9,0.12,9.6
0.9,0.14,10
0.9,0.16,10
0.9,0.18,10
0.9,0.2,10.4
0.9,0.22,10.9
0.9,0.24,11
0.9,0.26,11.3
0.9,0.28,11.9
0.9,0.3,12.2
0.9,0.32,12.5
0.9,0.34,13.1
0.9,0.36,13.7
0.9,0.38,15
0.9,0.4,15.5
0.9,0.42,17.1
0.9,0.44,19.4
0.9,0.46,23
0.9,0.48,25
0.9,0.5,1000
0.9,0.52,1000
0.9,0.54,1000
0.9,0.56,1000
0.9,0.58,1000
0.9,0.6,1000
0.9,0.62,1000
0.9,0.64,1000
0.9,0.66,1000
0.9,0.68,1000
0.9,0.7,1000
0.9,0.72,1000
0.9,0.74,1000
0.9,0.76,1000
0.9,0.78,1000
0.9,0.8,1000
0.9,0.82,1000
0.9,0.84,1000
0.9,0.86,1000
0.9,0.88,1000
0.9,0.9,1000
0.9,0.92,1000
0.9,0.94,1000
0.9,0.96,1000
0.9,0.98,1000
0.9,1,1000
0.88,0,9
0.88,0.02,9
0.88,0.04,9
0.88,0.06,9
0.88,0.08,9
0.88,0.1,9.5
0.88,0.12,9.9
0.88,0.14,10
0.88,0.16,10
0.88,0.18,10.1
0.88,0.2,10.2
0.88,0.22,11
0.88,0.24,11
0.88,0.26,11.1
0.88,0.28,11.8
0.88,0.3,12
0.88,0.32,12.2
0.88,0.34,13
0.88,0.36,13.3
0.88,0.38,14.1
0.88,0.4,15.1
0.88,0.42,16.6
0.88,0.44,18
0.88,0.46,21.889
0.88,0.48,27.429
0.88,0.5,1000
0.88,0.52,1000
0.88,0.54,1000
