Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.5,0,1000
0.5,0.01,1000
0.5,0.02,1000
0.5,0.03,1000
0.5,0.04,1000
0.5,0.05,1000
0.5,0.06,1000
0.5,0.07,1000
0.5,0.08,1000
0.5,0.09,1000
0.5,0.1,1000
0.5,0.11,1000
0.5,0.12,1000
0.5,0.13,1000
0.5,0.14,1000
0.5,0.15,1000
0.5,0.16,1000
0.5,0.17,1000
0.5,0.18,1000
0.5,0.19,1000
0.5,0.2,1000
0.5,0.21,1000
0.5,0.22,1000
0.5,0.23,1000
0.5,0.24,1000
0.5,0.25,1000
0.5,0.26,1000
0.5,0.27,1000
0.5,0.28,1000
0.5,0.29,1000
0.5,0.3,1000
0.5,0.31,1000
0.5,0.32,1000
0.5,0.33,1000
0.5,0.34,1000
0.5,0.35,1000
0.5,0.36,1000
0.5,0.37,1000
0.5,0.38,1000
0.5,0.39,1000
0.5,0.4,1000
0.5,0.41,1000
0.5,0.42,1000
0.5,0.43,1000
0.5,0.44,1000
0.5,0.45,1000
0.5,0.46,1000
0.5,0.47,1000
0.5,0.48,1000
0.5,0.49,1000
0.5,0.5,1000
0.5,0.51,1000
0.5,0.52,1000
0.5,0.53,1000
0.5,0.54,1000
0.5,0.55,1000
0.5,0.56,1000
0.5,0.57,1000
0.5,0.58,1000
0.5,0.59,1000
0.5,0.6,1000
0.51,0,1000
0.51,0.01,1000
0.51,0.02,1000
0.51,0.03,1000
0.51,0.04,1000
0.51,0.05,1000
0.51,0.06,1000
0.51,0.07,1000
0.51,0.08,1000
0.51,0.09,1000
0.51,0.1,1000
0.51,0.11,1000
0.51,0.12,1000
0.51,0.13,1000
0.51,0.14,1000
0.51,0.15,1000
0.51,0.16,1000
0.51,0.17,1000
0.51,0.18,1000
0.51,0.19,1000
0.51,0.2,1000
0.51,0.21,1000
0.51,0.22,1000
0.51,0.23,1000
0.51,0.24,1000
0.51,0.25,1000
0.51,0.26,1000
0.51,0.27,1000
0.51,0.28,1000
0.51,0.29,1000
0.51,0.3,1000
0.51,0.31,1000
0.51,0.32,1000
0.51,0.33,1000
0.51,0.34,1000
0.51,0.35,1000
0.51,0.36,1000
0.51,0.37,1000
0.51,0.38,1000
0.51,0.39,1000
0.51,0.4,1000
0.51,0.41,1000
0.51,0.42,1000
0.51,0.43,1000
0.51,0.44,1000
0.51,0.45,1000
0.51,0.46,1000
0.51,0.47,1000
0.51,0.48,1000
0.51,0.49,1000
0.51,0.5,1000
0.51,0.51,1000
0.51,0.52,1000
0.51,0.53,1000
0.51,0.54,1000
0.51,0.55,1000
0.51,0.56,1000
0.51,0.57,1000
0.51,0.58,1000
0.51,0.59,1000
0.51,0.6,1000
0.52,0,1000
0.52,0.01,1000
0.52,0.02,1000
0.52,0.03,1000
0.52,0.04,1000
0.52,0.05,1000
0.52,0.06,1000
0.52,0.07,1000
0.52,0.08,1000
0.52,0.09,1000
0.52,0.1,1000
0.52,0.11,1000
0.52,0.12,1000
0.52,0.13,1000
0.52,0.14,1000
0.52,0.15,1000
0.52,0.16,1000
0.52,0.17,1000
0.52,0.18,1000
0.52,0.19,1000
0.52,0.2,1000
0.52,0.21,1000
0.52,0.22,1000
0.52,0.23,1000
0.52,0.24,1000
0.52,0.25,1000
0.52,0.26,1000
0.52,0.27,1000
0.52,0.28,1000
0.52,0.29,1000
0.52,0.3,1000
0.52,0.31,1000
0.52,0.32,1000
0.52,0.33,1000
0.52,0.34,1000
0.52,0.35,1000
0.52,0.36,1000
0.52,0.37,1000
0.52,0.38,1000
0.52,0.39,1000
0.52,0.4,1000
0.52,0.41,1000
0.52,0.42,1000
0.52,0.43,1000
0.52,0.44,1000
0.52,0.45,1000
0.52,0.46,1000
0.52,0.47,1000
0.52,0.48,1000
0.52,0.49,1000
0.52,0.5,1000
0.52,0.51,1000
0.52,0.52,1000
0.52,0.53,1000
0.52,0.54,1000
0.52,0.55,1000
0.52,0.56,1000
0.52,0.57,1000
0.52,0.58,1000
0.52,0.59,1000
0.52,0.6,1000
0.53,0,1000
0.53,0.01,1000
0.53,0.02,1000
0.53,0.03,1000
0.53,0.04,1000
0.53,0.05,1000
0.53,0.06,1000
0.53,0.07,1000
0.53,0.08,1000
0.53,0.09,1000
0.53,0.1,1000
0.53,0.11,1000
0.53,0.12,1000
0.53,0.13,1000
0.53,0.14,1000
0.53,0.15,1000
0.53,0.16,1000
0.53,0.17,1000
0.53,0.18,1000
0.53,0.19,1000
0.53,0.2,1000
0.53,0.21,1000
0.53,0.22,1000
0.53,0.23,1000
0.53,0.24,1000
0.53,0.25,1000
0.53,0.26,1000
