Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0.0,0.5,1000
0.0,0.51,1000
0.0,0.52,1000
0.0,0.53,1000
0.0,0.54,1000
0.0,0.55,1000
0.0,0.56,1000
0.0,0.57,1000
0.0,0.58,1000
0.0,0.59,1000
0.0,0.6,23.0
0.0,0.61,18.0
0.0,0.62,18.5
0.0,0.63,14.5
0.0,0.64,13.0
0.0,0.65,11.833
0.0,0.66,11.2
0.0,0.67,10.5
0.0,0.68,10.333
0.0,0.69,9.1667
0.0,0.7,9.0
0.0,0.71,8.8571
0.0,0.72,8.3333
0.0,0.73,8.0
0.0,0.74,7.75
0.0,0.75,7.5
0.0,0.76,7.1667
0.0,0.77,7.25
0.0,0.78,7.6
0.0,0.79,6.7143
0.0,0.8,6.5
0.0,0.81,6.8
0.0,0.82,6.0
0.0,0.83,5.0
0.0,0.84,5.3333
0.0,0.85,5.6
0.0,0.86,5.2
0.0,0.87,5.0
0.0,0.88,5.5
0.0,0.89,5.0
0.0,0.9,5.0
0.0,0.91,4.1667
0.0,0.92,4.25
0.0,0.93,4.2222
0.0,0.94,4.25
0.0,0.95,4.0
0.0,0.96,3.5
0.0,0.97,1000
0.0,0.98,2.0
0.0,0.99,2.2
0.0,1.0,2.0
0.01,0.5,1000
0.01,0.51,1000
0.01,0.52,1000
0.01,0.53,1000
0.01,0.54,1000
0.01,0.55,1000
0.01,0.56,25.0
0.01,0.57,29.167
0.01,0.58,24.111
0.01,0.59,21.1
0.01,0.6,19.1
0.01,0.61,17.5
0.01,0.62,17.111
0.01,0.63,17.4
0.01,0.64,16.0
0.01,0.65,16.111
0.01,0.66,14.6
0.01,0.67,13.778
0.01,0.68,14.1
0.01,0.69,14.3
0.01,0.7,13.8
0.01,0.71,12.5
0.01,0.72,12.2
0.01,0.73,13.6
0.01,0.74,12.2
0.01,0.75,12.5
0.01,0.76,12.6
0.01,0.77,12.5
0.01,0.78,11.778
0.01,0.79,11.6
0.01,0.8,11.5
0.01,0.81,11.5
0.01,0.82,10.9
0.01,0.83,10.5
0.01,0.84,10.8
0.01,0.85,10.667
0.01,0.86,10.0
0.01,0.87,10.9
0.01,0.88,9.7
0.01,0.89,9.1
0.01,0.9,9.6
0.01,0.91,10.3
0.01,0.92,9.4
0.01,0.93,9.2
0.01,0.94,8.4
0.01,0.95,8.8
0.01,0.96,8.9
0.01,0.97,9.1
0.01,0.98,9.1
0.01,0.99,9.0
0.01,1.0,7.9
0.02,0.5,1000
0.02,0.51,1000
0.02,0.52,1000
0.02,0.53,1000
0.02,0.54,33.0
0.02,0.55,31.0
0.02,0.56,28.75
