Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0,0.6,1000
0,0.61,1000
0,0.62,1000
0,0.63,1000
0,0.64,1000
0,0.65,1000
0,0.66,1000
0,0.67,1000
0,0.68,1000
0,0.69,1000
0,0.7,1000
0,0.71,1000
0,0.72,1000
0,0.73,1000
0,0.74,1000
0,0.75,1000
0,0.76,1000
0,0.77,1000
0,0.78,1000
0,0.79,1000
0,0.8,1000
0,0.81,1000
0,0.82,1000
0,0.83,1000
0,0.84,1000
0,0.85,1000
0,0.86,1000
0,0.87,1000
0,0.88,1000
0,0.89,1000
0,0.9,1000
0,0.91,1000
0,0.92,1000
0,0.93,1000
0,0.94,1000
0,0.95,1000
0,0.96,14
0,0.97,17
0,0.98,10
0,0.99,6.6667
0,1,2
0.01,0.6,1000
0.01,0.61,1000
0.01,0.62,1000
0.01,0.63,1000
0.01,0.64,1000
0.01,0.65,1000
0.01,0.66,1000
0.01,0.67,1000
0.01,0.68,1000
0.01,0.69,1000
0.01,0.7,1000
0.01,0.71,1000
0.01,0.72,1000
0.01,0.73,1000
0.01,0.74,1000
0.01,0.75,1000
0.01,0.76,1000
0.01,0.77,1000
0.01,0.78,1000
0.01,0.79,1000
0.01,0.8,1000
0.01,0.81,1000
0.01,0.82,1000
0.01,0.83,1000
0.01,0.84,1000
0.01,0.85,1000
0.01,0.86,1000
0.01,0.87,1000
0.01,0.88,1000
0.01,0.89,1000
0.01,0.9,1000
0.01,0.91,1000
0.01,0.92,1000
0.01,0.93,1000
0.01,0.94,1000
0.01,0.95,15
0.01,0.96,13.333
0.01,0.97,13.333
0.01,0.98,12.125
0.01,0.99,8.375
0.01,1,3.2
0.02,0.6,1000
0.02,0.61,1000
0.02,0.62,1000
0.02,0.63,1000
0.02,0.64,1000
0.02,0.65,1000
0.02,0.66,1000
0.02,0.67,1000
0.02,0.68,1000
0.02,0.69,1000
0.02,0.7,1000
0.02,0.71,1000
0.02,0.72,1000
0.02,0.73,1000
0.02,0.74,1000
0.02,0.75,1000
0.02,0.76,1000
0.02,0.77,1000
0.02,0.78,1000
0.02,0.79,1000
0.02,0.8,1000
0.02,0.81,1000
0.02,0.82,1000
0.02,0.83,1000
0.02,0.84,1000
0.02,0.85,1000
0.02,0.86,1000
0.02,0.87,1000
0.02,0.88,1000
0.02,0.89,1000
0.02,0.9,1000
0.02,0.91,1000
0.02,0.92,1000
0.02,0.93,1000
0.02,0.94,1000
0.02,0.95,1000
0.02,0.96,17.25
0.02,0.97,14.571
0.02,0.98,8.3
0.02,0.99,9.6667
0.02,1,3.5
0.03,0.6,1000
0.03,0.61,1000
0.03,0.62,1000
0.03,0.63,1000
0.03,0.64,1000
0.03,0.65,1000
0.03,0.66,1000
0.03,0.67,1000
0.03,0.68,1000
0.03,0.69,1000
0.03,0.7,1000
0.03,0.71,1000
0.03,0.72,1000
0.03,0.73,1000
0.03,0.74,1000
0.03,0.75,1000
0.03,0.76,1000
0.03,0.77,1000
0.03,0.78,1000
0.03,0.79,1000
0.03,0.8,1000
0.03,0.81,1000
0.03,0.82,1000
0.03,0.83,1000
0.03,0.84,1000
0.03,0.85,1000
0.03,0.86,1000
0.03,0.87,1000
0.03,0.88,1000
0.03,0.89,1000
0.03,0.9,1000
0.03,0.91,1000
0.03,0.92,1000
0.03,0.93,1000
0.03,0.94,1000
0.03,0.95,22
0.03,0.96,15.5
0.03,0.97,14.5
0.03,0.98,13.857
0.03,0.99,9
0.03,1,4.4
0.04,0.6,1000
0.04,0.61,1000
0.04,0.62,1000
0.04,0.63,1000
0.04,0.64,1000
0.04,0.65,1000
0.04,0.66,1000
0.04,0.67,1000
