Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0.0,0.3,1000
0.0,0.31,1000
0.0,0.32,1000
0.0,0.33,1000
0.0,0.34,1000
0.0,0.35,1000
0.0,0.36,1000
0.0,0.37,1000
0.0,0.38,1000
0.0,0.39,1000
0.0,0.4,1000
0.0,0.41,1000
0.0,0.42,1000
0.0,0.43,1000
0.0,0.44,1000
0.0,0.45,1000
0.0,0.46,1000
0.0,0.47,1000
0.0,0.48,1000
0.0,0.49,1000
0.0,0.5,1000
0.0,0.51,1000
0.0,0.52,1000
0.0,0.53,1000
0.0,0.54,1000
0.0,0.55,1000
0.0,0.56,1000
0.0,0.57,1000
0.0,0.58,1000
0.0,0.59,1000
0.0,0.6,1000
0.0,0.61,1000
0.0,0.62,1000
0.0,0.63,1000
0.0,0.64,1000
0.0,0.65,1000
0.0,0.66,1000
0.0,0.67,1000
0.0,0.68,1000
0.0,0.69,1000
0.0,0.7,1000
0.0,0.71,1000
0.0,0.72,1000
0.0,0.73,1000
0.0,0.74,1000
0.0,0.75,1000
0.0,0.76,1000
0.0,0.77,1000
0.0,0.78,1000
0.0,0.79,1000
0.0,0.8,1000
0.0,0.81,1000
0.0,0.82,23.0
0.0,0.83,15.0
0.0,0.84,14.0
0.0,0.85,10.0
0.0,0.86,7.5714
0.0,0.87,6.8571
0.0,0.88,8.0
0.0,0.89,6.0
0.0,0.9,6.1667
0.0,0.91,5.5714
0.0,0.92,6.3333
0.0,0.93,4.5
0.0,0.94,4.4286
0.0,0.95,4.0
0.0,0.96,3.8333
0.0,0.97,3.0
0.0,0.98,2.4
0.0,0.99,2.1
0.0,1.0,2.0
0.01,0.3,1000
0.01,0.31,1000
0.01,0.32,1000
0.01,0.33,1000
0.01,0.34,1000
0.01,0.35,1000
0.01,0.36,1000
0.01,0.37,1000
0.01,0.38,1000
0.01,0.39,1000
0.01,0.4,1000
0.01,0.41,1000
0.01,0.42,1000
0.01,0.43,1000
0.01,0.44,1000
0.01,0.45,1000
0.01,0.46,1000
0.01,0.47,1000
0.01,0.48,1000
0.01,0.49,1000
0.01,0.5,1000
0.01,0.51,1000
0.01,0.52,1000
0.01,0.53,1000
0.01,0.54,1000
0.01,0.55,1000
0.01,0.56,1000
0.01,0.57,1000
0.01,0.58,1000
0.01,0.59,1000
0.01,0.6,1000
0.01,0.61,1000
0.01,0.62,1000
0.01,0.63,1000
0.01,0.64,1000
0.01,0.65,1000
0.01,0.66,1000
0.01,0.67,1000
0.01,0.68,1000
0.01,0.69,1000
0.01,0.7,1000
0.01,0.71,1000
0.01,0.72,1000
0.01,0.73,1000
0.01,0.74,1000
0.01,0.75,1000
0.01,0.76,18.0
0.01,0.77,17.0
0.01,0.78,14.222
0.01,0.79,12.3
0.01,0.8,11.9
0.01,0.81,10.2
0.01,0.82,8.6
0.01,0.83,8.3
0.01,0.84,8.5
0.01,0.85,7.4
0.01,0.86,6.8
0.01,0.87,6.6
0.01,0.88,6.4
0.01,0.89,6.0
0.01,0.9,6.0
0.01,0.91,5.4
0.01,0.92,5.2
0.01,0.93,5.0
0.01,0.94,5.0
0.01,0.95,4.3
0.01,0.96,4.1
0.01,0.97,4.0
0.01,0.98,3.8
0.01,0.99,3.7
0.01,1.0,3.2
0.02,0.3,1000
0.02,0.31,1000
0.02,0.32,1000
0.02,0.33,1000
0.02,0.34,1000
0.02,0.35,1000
0.02,0.36,1000
0.02,0.37,1000
0.02,0.38,1000
0.02,0.39,1000
0.02,0.4,1000
0.02,0.41,1000
0.02,0.42,1000
0.02,0.43,1000
0.02,0.44,1000
0.02,0.45,1000
0.02,0.46,1000
0.02,0.47,1000
0.02,0.48,1000
0.02,0.49,1000
0.02,0.5,1000
0.02,0.51,1000
0.02,0.52,1000
0.02,0.53,1000
0.02,0.54,1000
0.02,0.55,1000
0.02,0.56,1000
0.02,0.57,1000
0.02,0.58,1000
0.02,0.59,1000
0.02,0.6,1000
0.02,0.61,1000
0.02,0.62,1000
0.02,0.63,1000
0.02,0.64,1000
0.02,0.65,1000
0.02,0.66,1000
0.02,0.67,1000
0.02,0.68,1000
0.02,0.69,1000
0.02,0.7,1000
0.02,0.71,1000
0.02,0.72,1000
0.02,0.73,1000
0.02,0.74,1000
0.02,0.75,16.0
0.02,0.76,14.857
0.02,0.77,12.4
0.02,0.78,11.1
0.02,0.79,10.3
0.02,0.8,9.7
0.02,0.81,8.9
0.02,0.82,8.4
0.02,0.83,8.4
0.02,0.84,7.8
0.02,0.85,7.3
0.02,0.86,6.8
0.02,0.87,6.6
0.02,0.88,6.4
0.02,0.89,6.2
0.02,0.9,6.1
0.02,0.91,5.7
0.02,0.92,5.2
0.02,0.93,5.1
0.02,0.94,5.1
0.02,0.95,5.0
0.02,0.96,4.4
0.02,0.97,4.3
0.02,0.98,4.0
0.02,0.99,4.0
0.02,1.0,3.9
0.03,0.3,1000
0.03,0.31,1000
0.03,0.32,1000
0.03,0.33,1000
0.03,0.34,1000
0.03,0.35,1000
0.03,0.36,1000
0.03,0.37,1000
0.03,0.38,1000
0.03,0.39,1000
0.03,0.4,1000
0.03,0.41,1000
0.03,0.42,1000
0.03,0.43,1000
0.03,0.44,1000
0.03,0.45,1000
0.03,0.46,1000
0.03,0.47,1000
0.03,0.48,1000
0.03,0.49,1000
0.03,0.5,1000
0.03,0.51,1000
0.03,0.52,1000
0.03,0.53,1000
0.03,0.54,1000
0.03,0.55,1000
0.03,0.56,1000
0.03,0.57,1000
0.03,0.58,1000
0.03,0.59,1000
0.03,0.6,1000
0.03,0.61,1000
0.03,0.62,1000
0.03,0.63,1000
0.03,0.64,1000
0.03,0.65,1000
0.03,0.66,1000
0.03,0.67,1000
0.03,0.68,1000
0.03,0.69,1000
0.03,0.7,1000
0.03,0.71,1000
0.03,0.72,1000
0.03,0.73,21.0
0.03,0.74,16.429
0.03,0.75,15.7
0.03,0.76,11.9
0.03,0.77,11.1
0.03,0.78,10.0
0.03,0.79,9.9
0.03,0.8,9.7
0.03,0.81,9.2
0.03,0.82,8.8
0.03,0.83,8.1
0.03,0.84,7.7
0.03,0.85,7.6
0.03,0.86,7.0
0.03,0.87,7.0
0.03,0.88,6.6
0.03,0.89,6.6
0.03,0.9,6.2
0.03,0.91,6.0
0.03,0.92,5.9
0.03,0.93,5.7
0.03,0.94,5.4
0.03,0.95,5.3
0.03,0.96,4.9
0.03,0.97,4.8
0.03,0.98,4.3
0.03,0.99,4.4
0.03,1.0,4.1
0.04,0.3,1000
0.04,0.31,1000
0.04,0.32,1000
0.04,0.33,1000
0.04,0.34,1000
0.04,0.35,1000
0.04,0.36,1000
0.04,0.37,1000
0.04,0.38,1000
0.04,0.39,1000
0.04,0.4,1000
0.04,0.41,1000
0.04,0.42,1000
0.04,0.43,1000
0.04,0.44,1000
0.04,0.45,1000
0.04,0.46,1000
0.04,0.47,1000
0.04,0.48,1000
0.04,0.49,1000
0.04,0.5,1000
0.04,0.51,1000
0.04,0.52,1000
0.04,0.53,1000
0.04,0.54,1000
0.04,0.55,1000
0.04,0.56,1000
0.04,0.57,1000
0.04,0.58,1000
0.04,0.59,1000
0.04,0.6,1000
0.04,0.61,1000
0.04,0.62,1000
0.04,0.63,1000
0.04,0.64,1000
0.04,0.65,1000
0.04,0.66,1000
0.04,0.67,1000
0.04,0.68,1000
0.04,0.69,1000
0.04,0.7,1000
0.04,0.71,19.667
0.04,0.72,19.4
0.04,0.73,16.6
0.04,0.74,14.0
0.04,0.75,12.4
0.04,0.76,11.5
0.04,0.77,11.1
0.04,0.78,10.4
0.04,0.79,10.2
0.04,0.8,9.1
0.04,0.81,9.1
0.04,0.82,8.5
0.04,0.83,8.5
0.04,0.84,8.3
0.04,0.85,8.0
0.04,0.86,7.5
0.04,0.87,7.1
0.04,0.88,7.1
0.04,0.89,6.8
0.04,0.9,6.5
0.04,0.91,6.2
0.04,0.92,6.0
0.04,0.93,6.0
0.04,0.94,5.7
0.04,0.95,5.5
0.04,0.96,5.2
0.04,0.97,5.1
0.04,0.98,4.9
0.04,0.99,4.9
0.04,1.0,4.8
0.05,0.3,1000
0.05,0.31,1000
0.05,0.32,1000
0.05,0.33,1000
0.05,0.34,1000
0.05,0.35,1000
0.05,0.36,1000
0.05,0.37,1000
0.05,0.38,1000
0.05,0.39,1000
0.05,0.4,1000
0.05,0.41,1000
0.05,0.42,1000
0.05,0.43,1000
0.05,0.44,1000
0.05,0.45,1000
0.05,0.46,1000
0.05,0.47,1000
0.05,0.48,1000
0.05,0.49,1000
0.05,0.5,1000
0.05,0.51,1000
0.05,0.52,1000
0.05,0.53,1000
0.05,0.54,1000
0.05,0.55,1000
0.05,0.56,1000
0.05,0.57,1000
0.05,0.58,1000
0.05,0.59,1000
0.05,0.6,1000
0.05,0.61,1000
0.05,0.62,1000
0.05,0.63,1000
0.05,0.64,1000
0.05,0.65,1000
0.05,0.66,1000
0.05,0.67,1000
0.05,0.68,1000
0.05,0.69,1000
0.05,0.7,18.75
0.05,0.71,16.333
0.05,0.72,17.778
0.05,0.73,13.9
0.05,0.74,12.6
0.05,0.75,11.8
0.05,0.76,11.3
0.05,0.77,11.1
0.05,0.78,10.4
0.05,0.79,9.9
0.05,0.8,9.6
0.05,0.81,9.3
0.05,0.82,9.0
0.05,0.83,8.5
0.05,0.84,8.2
0.05,0.85,8.2
0.05,0.86,7.9
0.05,0.87,7.6
0.05,0.88,7.2
0.05,0.89,7.0
0.05,0.9,7.2
0.05,0.91,6.7
0.05,0.92,6.4
0.05,0.93,6.1
0.05,0.94,6.0
0.05,0.95,5.9
0.05,0.96,5.7
0.05,0.97,5.5
0.05,0.98,5.2
0.05,0.99,5.0
0.05,1.0,4.9
0.06,0.3,1000
0.06,0.31,1000
0.06,0.32,1000
0.06,0.33,1000
0.06,0.34,1000
0.06,0.35,1000
