Resistance Fitness Multiplier,Introduction Frequency,Generations to 99% drive-carrying individuals
0,0.5,1000
0,0.51,1000
0,0.52,1000
0,0.53,1000
0,0.54,1000
0,0.55,1000
0,0.56,1000
0,0.57,1000
0,0.58,1000
0,0.59,1000
0,0.6,17
0,0.61,14.625
0,0.62,11
0,0.63,9.6
0,0.64,8.6
0,0.65,8
0,0.66,7.2
0,0.67,7
0,0.68,7
0,0.69,6.1
0,0.7,6
0,0.71,6
0,0.72,5.8
0,0.73,5
0,0.74,5
0,0.75,5
0,0.76,5
0,0.77,4.7
0,0.78,4
0,0.79,4
0,0.8,4
0,0.81,4
0,0.82,4
0,0.83,4
0,0.84,3.8
0,0.85,3.2
0,0.86,3
0,0.87,3
0,0.88,3
0,0.89,3
0,0.9,1.8
0,0.91,1
0,0.92,1
0,0.93,1
0,0.94,1
0,0.95,1
0,0.96,1
0,0.97,1
0,0.98,1
0,0.99,1
0,1,1
0.01,0.5,1000
0.01,0.51,1000
0.01,0.52,1000
0.01,0.53,1000
0.01,0.54,1000
0.01,0.55,1000
0.01,0.56,1000
0.01,0.57,1000
0.01,0.58,1000
0.01,0.59,1000
0.01,0.6,17
0.01,0.61,12.1
0.01,0.62,10.1
0.01,0.63,9.3
0.01,0.64,8.4
0.01,0.65,7.9
0.01,0.66,7.2
0.01,0.67,7
0.01,0.68,6.4
0.01,0.69,6
0.01,0.7,6
0.01,0.71,6
0.01,0.72,5.8
0.01,0.73,5.1
0.01,0.74,5
0.01,0.75,5
0.01,0.76,5
0.01,0.77,5
0.01,0.78,4.4
0.01,0.79,4
0.01,0.8,4
0.01,0.81,4
0.01,0.82,4
0.01,0.83,4
0.01,0.84,4
0.01,0.85,3.2
0.01,0.86,3
0.01,0.87,3
0.01,0.88,3
0.01,0.89,3
0.01,0.9,2.4
0.01,0.91,1
0.01,0.92,1
0.01,0.93,1
0.01,0.94,1
0.01,0.95,1
0.01,0.96,1
0.01,0.97,1
0.01,0.98,1
0.01,0.99,1
0.01,1,1
0.02,0.5,1000
0.02,0.51,1000
0.02,0.52,1000
0.02,0.53,1000
0.02,0.54,1000
0.02,0.55,1000
0.02,0.56,1000
0.02,0.57,1000
0.02,0.58,1000
0.02,0.59,1000
0.02,0.6,15.8
0.02,0.61,11
0.02,0.62,9.9
0.02,0.63,9
0.02,0.64,8
0.02,0.65,8
0.02,0.66,7
0.02,0.67,7
0.02,0.68,6.6
0.02,0.69,6
0.02,0.7,6
0.02,0.71,6
0.02,0.72,5.6
0.02,0.73,5
0.02,0.74,5
0.02,0.75,5
0.02,0.76,5
0.02,0.77,5
0.02,0.78,4.3
0.02,0.79,4
0.02,0.8,4
0.02,0.81,4
0.02,0.82,4
0.02,0.83,4
0.02,0.84,4
0.02,0.85,3.3
0.02,0.86,3
0.02,0.87,3
0.02,0.88,3
0.02,0.89,3
0.02,0.9,2.2
0.02,0.91,1
0.02,0.92,1
0.02,0.93,1
0.02,0.94,1
0.02,0.95,1
0.02,0.96,1
0.02,0.97,1
0.02,0.98,1
0.02,0.99,1
0.02,1,1
0.03,0.5,1000
0.03,0.51,1000
0.03,0.52,1000
0.03,0.53,1000
0.03,0.54,1000
0.03,0.55,1000
0.03,0.56,1000
0.03,0.57,1000
0.03,0.58,1000
0.03,0.59,20.667
0.03,0.6,13.8
0.03,0.61,11.1
0.03,0.62,9.9
0.03,0.63,9
0.03,0.64,8
0.03,0.65,7.8
0.03,0.66,7
0.03,0.67,7
0.03,0.68,6.5
0.03,0.69,6
0.03,0.7,6
0.03,0.71,6
0.03,0.72,5.9
0.03,0.73,5
0.03,0.74,5
0.03,0.75,5
0.03,0.76,5
0.03,0.77,5
0.03,0.78,4.4
0.03,0.79,4
0.03,0.8,4
0.03,0.81,4
0.03,0.82,4
0.03,0.83,4
0.03,0.84,4
0.03,0.85,3.3
0.03,0.86,3
0.03,0.87,3
0.03,0.88,3
0.03,0.89,3
0.03,0.9,2.8
0.03,0.91,1
0.03,0.92,1
0.03,0.93,1
0.03,0.94,1
0.03,0.95,1
0.03,0.96,1
0.03,0.97,1
0.03,0.98,1
0.03,0.99,1
0.03,1,1
0.04,0.5,1000
0.04,0.51,1000
0.04,0.52,1000
0.04,0.53,1000
0.04,0.54,1000
0.04,0.55,1000
0.04,0.56,1000
0.04,0.57,1000
0.04,0.58,1000
0.04,0.59,15.5
0.04,0.6,13
0.04,0.61,10.4
0.04,0.62,9.5
0.04,0.63,8.8
0.04,0.64,8.1
0.04,0.65,7.8
0.04,0.66,7
0.04,0.67,7
0.04,0.68,6.6
0.04,0.69,6
0.04,0.7,6
0.04,0.71,6
0.04,0.72,5.8
0.04,0.73,5
0.04,0.74,5
0.04,0.75,5
0.04,0.76,5
0.04,0.77,5
0.04,0.78,4.4
0.04,0.79,4
0.04,0.8,4
0.04,0.81,4
0.04,0.82,4
0.04,0.83,4
0.04,0.84,4
0.04,0.85,3.7
0.04,0.86,3
0.04,0.87,3
0.04,0.88,3
0.04,0.89,3
0.04,0.9,2.4
0.04,0.91,1
0.04,0.92,1
0.04,0.93,1
0.04,0.94,1
0.04,0.95,1
0.04,0.96,1
0.04,0.97,1
0.04,0.98,1
0.04,0.99,1
0.04,1,1
0.05,0.5,1000
0.05,0.51,1000
0.05,0.52,1000
0.05,0.53,1000
0.05,0.54,1000
0.05,0.55,1000
0.05,0.56,1000
0.05,0.57,1000
0.05,0.58,1000
0.05,0.59,15
0.05,0.6,11.8
0.05,0.61,9.9
0.05,0.62,9.2
0.05,0.63,8.3
0.05,0.64,8
0.05,0.65,7.4
0.05,0.66,7
0.05,0.67,7
0.05,0.68,6.7
0.05,0.69,6
0.05,0.7,6
0.05,0.71,6
0.05,0.72,5.8
0.05,0.73,5
0.05,0.74,5
0.05,0.75,5
0.05,0.76,5
0.05,0.77,5
0.05,0.78,4.7
0.05,0.79,4
0.05,0.8,4
0.05,0.81,4
0.05,0.82,4
0.05,0.83,4
0.05,0.84,4
0.05,0.85,3.8
0.05,0.86,3.1
0.05,0.87,3
0.05,0.88,3
0.05,0.89,3
0.05,0.9,2.4
0.05,0.91,1
0.05,0.92,1
0.05,0.93,1
0.05,0.94,1
0.05,0.95,1
0.05,0.96,1
0.05,0.97,1
0.05,0.98,1
0.05,0.99,1
0.05,1,1
0.06,0.5,1000
0.06,0.51,1000
0.06,0.52,1000
0.06,0.53,1000
0.06,0.54,1000
0.06,0.55,1000
0.06,0.56,1000
0.06,0.57,1000
0.06,0.58,18
0.06,0.59,13.667
0.06,0.6,11.2
0.06,0.61,9.8
0.06,0.62,9
0.06,0.63,8.1
0.06,0.64,8
0.06,0.65,7.3
0.06,0.66,7
0.06,0.67,7
0.06,0.68,6.4
0.06,0.69,6
0.06,0.7,6
0.06,0.71,6
0.06,0.72,5.4
0.06,0.73,5.1
0.06,0.74,5
0.06,0.75,5
0.06,0.76,5
0.06,0.77,5
0.06,0.78,4.8
0.06,0.79,4.1
0.06,0.8,4
0.06,0.81,4
0.06,0.82,4
0.06,0.83,4
0.06,0.84,4
0.06,0.85,3.6
0.06,0.86,3.1
0.06,0.87,3
0.06,0.88,3
0.06,0.89,3
0.06,0.9,2.4
0.06,0.91,1
0.06,0.92,1
0.06,0.93,1
0.06,0.94,1
0.06,0.95,1
0.06,0.96,1
0.06,0.97,1
0.06,0.98,1
0.06,0.99,1
0.06,1,1
0.07,0.5,1000
0.07,0.51,1000
0.07,0.52,1000
0.07,0.53,1000
0.07,0.54,1000
0.07,0.55,1000
0.07,0.56,1000
0.07,0.57,1000
0.07,0.58,15.833
0.07,0.59,13.1
0.07,0.6,10.4
0.07,0.61,9.4
0.07,0.62,8.9
0.07,0.63,8.1
0.07,0.64,8
0.07,0.65,7.2
0.07,0.66,7
0.07,0.67,7
0.07,0.68,6.1
0.07,0.69,6
0.07,0.7,6
0.07,0.71,6
0.07,0.72,5.9
0.07,0.73,5
0.07,0.74,5
0.07,0.75,5
0.07,0.76,5
0.07,0.77,5
0.07,0.78,4.9
0.07,0.79,4
0.07,0.8,4
0.07,0.81,4
0.07,0.82,4
0.07,0.83,4
0.07,0.84,4
0.07,0.85,4
0.07,0.86,3
0.07,0.87,3
0.07,0.88,3
0.07,0.89,3
0.07,0.9,2.2
0.07,0.91,1
0.07,0.92,1
0.07,0.93,1
0.07,0.94,1
0.07,0.95,1
0.07,0.96,1
0.07,0.97,1
0.07,0.98,1
0.07,0.99,1
0.07,1,1
0.08,0.5,1000
0.08,0.51,1000
0.08,0.52,1000
0.08,0.53,1000
0.08,0.54,1000
0.08,0.55,1000
0.08,0.56,1000
0.08,0.57,1000
0.08,0.58,14.667
0.08,0.59,11.2
0.08,0.6,10.1
0.08,0.61,9.1
0.08,0.62,8.7
0.08,0.63,8.1
0.08,0.64,8
0.08,0.65,7.3
0.08,0.66,7
0.08,0.67,7
0.08,0.68,6.5
0.08,0.69,6
0.08,0.7,6
0.08,0.71,5.9
0.08,0.72,5.7
0.08,0.73,5
0.08,0.74,5
0.08,0.75,5
0.08,0.76,5
0.08,0.77,5
0.08,0.78,4.9
0.08,0.79,4
0.08,0.8,4
0.08,0.81,4
0.08,0.82,4
0.08,0.83,4
0.08,0.84,4
0.08,0.85,3.8
0.08,0.86,3.1
0.08,0.87,3
0.08,0.88,3
0.08,0.89,3
0.08,0.9,1.8
0.08,0.91,1
0.08,0.92,1
0.08,0.93,1
0.08,0.94,1
0.08,0.95,1
0.08,0.96,1
0.08,0.97,1
0.08,0.98,1
0.08,0.99,1
0.08,1,1
0.09,0.5,1000
0.09,0.51,1000
0.09,0.52,1000
0.09,0.53,1000
0.09,0.54,1000
0.09,0.55,1000
0.09,0.56,1000
0.09,0.57,18.667
0.09,0.58,12.9
0.09,0.59,10.7
0.09,0.6,10.1
0.09,0.61,9.1
0.09,0.62,8.4
0.09,0.63,8
0.09,0.64,7.9
0.09,0.65,7
0.09,0.66,7
0.09,0.67,7
0.09,0.68,6.4
0.09,0.69,6
0.09,0.7,6
0.09,0.71,6
0.09,0.72,5.8
0.09,0.73,5
0.09,0.74,5
0.09,0.75,5
0.09,0.76,5
0.09,0.77,5
0.09,0.78,4.8
0.09,0.79,4.3
0.09,0.8,4
0.09,0.81,4
0.09,0.82,4
0.09,0.83,4
0.09,0.84,4
0.09,0.85,3.9
0.09,0.86,3
0.09,0.87,3
0.09,0.88,3
0.09,0.89,3
0.09,0.9,1.8
0.09,0.91,1
0.09,0.92,1
0.09,0.93,1
0.09,0.94,1
0.09,0.95,1
0.09,0.96,1
0.09,0.97,1
0.09,0.98,1
0.09,0.99,1
0.09,1,1
0.1,0.5,1000
0.1,0.51,1000
0.1,0.52,1000
0.1,0.53,1000
0.1,0.54,1000
0.1,0.55,1000
0.1,0.56,1000
0.1,0.57,16.1
0.1,0.58,12.8
0.1,0.59,10.9
0.1,0.6,10
0.1,0.61,9
0.1,0.62,8.8
0.1,0.63,8
0.1,0.64,7.8
0.1,0.65,7.2
0.1,0.66,7
0.1,0.67,7
0.1,0.68,6.3
